site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
6337/2,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,39.0,20.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,39.0,49.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,38.0,84.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,38.0,87.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,36.0,74.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,37.0,76.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,38.0,53.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,38.0,58.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,40.0,39.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,41.0,36.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,38.0,38.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,40.0,29.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,40.0,30.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,41.0,23.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,40.0,22.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,40.0,28.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,41.0,15.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,39.0,10.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,41.0,9.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,36.0,17.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,39.0,24.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,39.0,19.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,38.0,24.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,39.0,16.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,41.0,10.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,41.0,26.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,39.0,46.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,41.0,28.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,40.0,29.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,42.0,35.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,44.0,50.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,43.0,52.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,44.0,30.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,42.0,38.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,43.0,43.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,42.0,57.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,43.0,70.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,41.0,86.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,40.0,80.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,41.0,88.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,39.0,106.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,40.0,154.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,40.0,130.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,40.0,162.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,39.0,203.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,39.0,158.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,38.0,194.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,38.0,188.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,37.0,246.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,38.0,244.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,38.0,223.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,37.0,256.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,37.0,251.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,39.0,232.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,37.0,257.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,37.0,256.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,38.0,223.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,39.0,216.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,38.0,225.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,38.0,228.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,38.0,217.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,38.0,221.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,37.0,196.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,37.0,193.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,36.0,169.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,34.0,192.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,35.0,193.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,35.0,147.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,36.0,144.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,36.0,158.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,37.0,136.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,35.0,128.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,37.0,126.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,38.0,119.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,36.0,142.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,39.0,114.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,38.0,100.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,36.0,113.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,37.0,102.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,38.0,91.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,39.0,94.0,False,False
6337/2,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,38.0,99.0,False,False
