site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
9251/1,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,69.0,22.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,69.0,21.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,66.0,53.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,67.0,80.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,67.0,42.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,66.0,52.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,67.0,54.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,66.0,58.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,69.0,46.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,67.0,38.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,65.0,34.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,65.0,19.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,64.0,27.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,64.0,21.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,65.0,15.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,67.0,16.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,64.0,18.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,63.0,22.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,69.0,20.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,62.0,12.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,69.0,19.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,66.0,21.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,67.0,26.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,63.0,19.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,67.0,26.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,66.0,28.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,69.0,25.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,67.0,36.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,63.0,39.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,67.0,47.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,66.0,49.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,69.0,42.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,70.0,46.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,69.0,61.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,67.0,62.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,66.0,60.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,67.0,68.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,68.0,96.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,68.0,132.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,67.0,172.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,67.0,177.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,67.0,243.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,67.0,277.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,67.0,331.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,67.0,371.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,67.0,372.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,66.0,438.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,67.0,467.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,67.0,466.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,67.0,501.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,67.0,450.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,67.0,435.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,65.0,465.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,67.0,471.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,67.0,444.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,66.0,398.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,66.0,427.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,67.0,421.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,66.0,424.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,65.0,422.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,65.0,445.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,64.0,453.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,63.0,464.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,66.0,446.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,64.0,454.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,66.0,453.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,64.0,473.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,64.0,431.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,62.0,463.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,60.0,440.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,63.0,458.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,65.0,382.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,64.0,408.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,64.0,385.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,65.0,323.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,64.0,295.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,66.0,261.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,67.0,189.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,65.0,150.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,64.0,137.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,65.0,127.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,66.0,108.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,66.0,96.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,67.0,92.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,67.0,87.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,67.0,60.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,65.0,53.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,67.0,61.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,67.0,35.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,69.0,41.0,False,False
9251/1,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,67.0,29.0,False,False
