site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
9252/1,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,68.0,20.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,69.0,15.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,73.0,26.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,70.0,34.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,71.0,52.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,72.0,44.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,69.0,36.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,69.0,36.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,72.0,24.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,70.0,22.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,72.0,30.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,72.0,20.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,72.0,12.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,71.0,11.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,67.0,14.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,74.0,13.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,73.0,10.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,73.0,9.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,70.0,11.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,77.0,8.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,69.0,15.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,68.0,11.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,67.0,8.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,72.0,31.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,71.0,33.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,70.0,28.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,70.0,43.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,71.0,42.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,70.0,25.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,71.0,51.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,67.0,60.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,68.0,64.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,69.0,71.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,69.0,75.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,70.0,92.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,68.0,129.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,69.0,146.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,69.0,185.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,68.0,266.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,69.0,280.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,69.0,337.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,68.0,346.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,69.0,383.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,69.0,421.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,69.0,432.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,68.0,412.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,68.0,414.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,69.0,415.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,69.0,401.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,69.0,354.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,69.0,405.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,70.0,393.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,69.0,317.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,70.0,308.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,69.0,353.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,70.0,322.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,70.0,305.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,70.0,310.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,70.0,289.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,69.0,269.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,70.0,239.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,70.0,256.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,71.0,267.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,71.0,254.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,70.0,262.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,70.0,201.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,70.0,219.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,70.0,205.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,69.0,188.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,70.0,189.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,69.0,191.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,71.0,194.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,70.0,203.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,70.0,193.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,70.0,186.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,71.0,148.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,71.0,167.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,72.0,133.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,71.0,125.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,71.0,120.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,69.0,90.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,69.0,114.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,69.0,92.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,71.0,83.0,False,False
9252/1,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,71.0,74.0,False,False
