site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M11/6400B,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,71.0,46.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,69.0,49.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,73.0,61.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,72.0,88.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,71.0,84.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,71.0,103.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,70.0,74.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,73.0,64.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,71.0,77.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,72.0,54.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,73.0,63.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,71.0,58.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,69.0,45.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,70.0,56.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,68.0,39.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,69.0,38.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,67.0,51.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,70.0,48.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,68.0,68.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,69.0,85.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,68.0,90.0,False,False
M11/6400B,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,69.0,114.0,False,False
