site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M20/6552A2,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,52.0,28.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,53.0,50.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,52.0,85.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,55.0,74.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,53.0,91.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,53.0,78.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,54.0,65.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,53.0,73.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,54.0,70.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,54.0,60.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,55.0,52.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,54.0,46.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,54.0,46.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,53.0,29.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,54.0,32.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,52.0,31.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,56.0,44.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,54.0,29.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,55.0,27.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,55.0,21.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,57.0,22.0,False,False
M20/6552A2,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,50.0,24.0,False,False
