site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M20/6572B2,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,55.0,14.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,57.0,36.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,56.0,39.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,56.0,74.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,57.0,60.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,58.0,52.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,57.0,60.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,58.0,35.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,56.0,39.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,59.0,29.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,56.0,27.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,59.0,20.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,57.0,20.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,60.0,10.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,52.0,12.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,55.0,14.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,57.0,8.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,61.0,10.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,58.0,15.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,58.0,14.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,60.0,10.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,60.0,20.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,60.0,18.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,63.0,20.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,57.0,15.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,60.0,28.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,59.0,34.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,63.0,25.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,59.0,41.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,58.0,32.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,61.0,38.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,63.0,48.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,61.0,64.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,63.0,56.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,63.0,43.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,61.0,45.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,59.0,46.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,62.0,50.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,59.0,78.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,60.0,96.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,60.0,78.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,58.0,111.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,57.0,140.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,59.0,154.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,59.0,157.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,58.0,159.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,58.0,193.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,58.0,181.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,58.0,210.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,57.0,229.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,59.0,227.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,58.0,241.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,58.0,221.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,56.0,232.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,57.0,258.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,58.0,241.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,57.0,220.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,57.0,207.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,57.0,206.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,59.0,195.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,58.0,197.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,57.0,211.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,58.0,226.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,57.0,246.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,57.0,179.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,55.0,221.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,54.0,221.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,55.0,223.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,56.0,193.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,57.0,201.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,58.0,185.0,False,False
M20/6572B2,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,58.0,147.0,False,False
