site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M4/3434B,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,72.0,44.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,73.0,33.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,74.0,38.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,72.0,47.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,76.0,52.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,77.0,52.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,71.0,65.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,72.0,65.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,73.0,38.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,71.0,41.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,74.0,40.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,71.0,41.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,71.0,37.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,76.0,38.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,72.0,33.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,72.0,39.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,68.0,35.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,71.0,35.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,74.0,37.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,72.0,40.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,68.0,28.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,72.0,37.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,71.0,54.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,67.0,48.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,69.0,42.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,71.0,55.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,72.0,58.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,69.0,57.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,71.0,61.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,70.0,73.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,68.0,72.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,72.0,84.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,73.0,94.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,75.0,101.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,78.0,126.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,74.0,132.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,74.0,150.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,76.0,192.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,75.0,249.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,74.0,312.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,75.0,298.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,75.0,408.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,75.0,426.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,75.0,545.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,75.0,594.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,75.0,691.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,75.0,764.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,76.0,766.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,75.0,846.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,75.0,880.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,76.0,905.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,75.0,928.0,False,False
M4/3434B,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,74.0,912.0,False,False
