site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M60/9327B,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,65.0,75.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,65.0,117.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,65.0,180.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,64.0,245.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,64.0,406.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,63.0,284.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,64.0,272.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,64.0,214.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,62.0,160.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,62.0,161.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,64.0,160.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,64.0,132.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,61.0,125.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,63.0,106.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,63.0,111.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,64.0,107.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,65.0,89.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,63.0,83.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,61.0,107.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,60.0,105.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,63.0,93.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,64.0,97.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,63.0,124.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,63.0,84.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,62.0,101.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,61.0,96.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,64.0,128.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,61.0,126.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,64.0,131.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,63.0,117.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,61.0,107.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,64.0,109.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,63.0,149.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,63.0,139.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,65.0,115.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,66.0,108.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,65.0,165.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,68.0,154.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,64.0,215.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,64.0,197.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,63.0,245.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,63.0,241.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,64.0,279.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,64.0,335.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,65.0,355.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,65.0,408.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,64.0,435.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,64.0,493.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,65.0,539.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,64.0,563.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,64.0,597.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,64.0,595.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,65.0,604.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,64.0,607.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,64.0,667.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,65.0,598.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,64.0,625.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,65.0,629.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,64.0,668.0,False,False
M60/9327B,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,65.0,558.0,False,False
