site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
OR217/100300,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,59.26,23.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,58.78,69.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,59.68,84.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,58.45,82.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,58.75,68.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,59.09,68.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,60.49,47.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,59.64,42.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,59.32,47.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,60.21,29.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,60.31,36.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,58.43,30.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,58.75,12.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,58.67,21.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,56.18,17.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,59.06,18.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,55.36,11.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,58.67,6.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,57.71,7.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,57.71,7.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,59.29,7.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,60.33,9.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,59.5,10.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,62.13,8.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,59.15,14.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,63.7,10.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,59.0,9.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,60.81,16.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,58.38,8.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,61.19,16.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,59.37,24.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,62.23,22.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,64.35,20.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,63.04,23.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,63.26,42.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,63.85,34.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,64.38,40.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,61.76,41.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,63.38,45.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,61.83,63.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,62.62,78.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,62.75,76.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,62.99,95.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,63.45,124.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,61.93,145.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,61.91,156.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,62.36,155.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,61.33,192.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,60.82,188.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,61.14,164.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,61.25,175.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,60.07,221.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,61.3,183.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,61.07,218.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,61.49,192.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,59.74,235.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,60.54,221.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,61.28,211.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,61.3,235.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,60.9,190.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,60.24,190.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,61.41,207.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,62.18,193.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,61.32,201.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,61.3,207.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,59.95,157.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,60.91,155.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,58.38,170.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,59.27,173.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,59.02,204.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,59.27,169.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,59.59,147.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,59.21,174.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,59.68,153.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,61.05,153.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,61.08,102.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,59.77,133.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,60.11,113.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,60.73,117.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,60.09,107.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,60.72,120.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,60.52,84.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,59.79,68.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,59.73,51.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,60.73,52.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,60.53,47.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,62.97,36.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,60.37,41.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,61.33,60.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,60.06,35.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,60.8,20.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 22:59:00.000000,91,59.34,24.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 23:14:00.000000,92,61.29,24.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 23:29:00.000000,93,59.48,21.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 23:44:00.000000,94,63.44,18.0,False,False
OR217/100300,1,2019-01-01,1,2019-01-01 23:59:00.000000,95,60.58,12.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 00:14:00.000000,0,57.71,14.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 00:29:00.000000,1,63.72,14.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 00:44:00.000000,2,59.37,8.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 00:59:00.000000,3,72.6,5.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 01:14:00.000000,4,60.83,6.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 01:29:00.000000,5,73.33,3.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 01:44:00.000000,6,60.0,1.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 01:59:00.000000,7,57.0,3.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 02:14:00.000000,8,51.57,7.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 02:29:00.000000,9,53.0,3.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 02:44:00.000000,10,55.0,1.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 02:59:00.000000,11,58.8,5.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 03:14:00.000000,12,63.4,5.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 03:29:00.000000,13,60.57,7.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 03:44:00.000000,14,60.0,6.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 03:59:00.000000,15,65.6,5.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 04:14:00.000000,16,63.0,4.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 04:29:00.000000,17,61.33,12.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 04:44:00.000000,18,61.44,16.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 04:59:00.000000,19,62.79,29.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 05:14:00.000000,20,62.11,28.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 05:29:00.000000,21,61.49,66.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 05:44:00.000000,22,62.68,100.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 05:59:00.000000,23,60.99,146.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 06:14:00.000000,24,61.49,166.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 06:29:00.000000,25,59.43,187.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 06:44:00.000000,26,57.7,276.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 06:59:00.000000,27,56.98,302.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 07:14:00.000000,28,56.64,236.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 07:29:00.000000,29,55.55,266.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 07:44:00.000000,30,54.54,294.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 07:59:00.000000,31,57.97,230.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 08:14:00.000000,32,58.7,235.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 08:29:00.000000,33,56.23,273.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 08:44:00.000000,34,57.48,230.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 08:59:00.000000,35,59.65,282.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 09:14:00.000000,36,59.72,265.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 09:29:00.000000,37,60.36,247.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 09:44:00.000000,38,59.32,222.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 09:59:00.000000,39,58.48,279.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 10:14:00.000000,40,59.38,247.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 10:29:00.000000,41,58.58,205.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 10:44:00.000000,42,58.41,287.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 10:59:00.000000,43,59.28,305.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 11:14:00.000000,44,59.24,247.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 11:29:00.000000,45,57.19,274.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 11:44:00.000000,46,57.86,294.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 11:59:00.000000,47,56.42,329.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 12:14:00.000000,48,57.43,308.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 12:29:00.000000,49,56.04,318.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 12:44:00.000000,50,57.72,329.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 12:59:00.000000,51,58.57,310.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 13:14:00.000000,52,58.46,324.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 13:29:00.000000,53,57.56,322.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 13:44:00.000000,54,58.0,233.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 13:59:00.000000,55,56.8,287.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 14:14:00.000000,56,58.77,302.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 14:29:00.000000,57,55.84,331.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 14:44:00.000000,58,53.49,287.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 14:59:00.000000,59,57.15,282.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 15:14:00.000000,60,56.75,281.0,False,False
OR217/100300,2,2019-01-02,2,2019-01-02 15:29:00.000000,61,52.43,337.0,False,False
