site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,54.67,3.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,46.86,7.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,56.55,9.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,52.5,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,49.0,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,51.25,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,53.5,4.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,51.33,3.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,62.0,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,62.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,54.333333333333336,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,46.666666666666664,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,39.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,46.0,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,53.0,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,60.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,56.33,3.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,58.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,48.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,43.0,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,44.666666666666664,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,46.333333333333336,0.0,True,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,48.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,52.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,48.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,47.5,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,63.0,1.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,50.5,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,62.0,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,47.25,4.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,49.33,3.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,59.0,2.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,55.8,5.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,47.67,3.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,47.25,4.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,54.6,10.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,48.5,4.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,57.0,4.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,56.8,10.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,51.29,7.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,56.11,9.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,52.85,13.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,53.0,9.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,54.36,11.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,54.27,22.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,55.18,17.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,52.1,21.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,55.33,15.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,53.38,16.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,54.84,19.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,57.06,19.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,52.5,16.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,53.79,19.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,54.96,25.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,56.64,28.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,54.41,22.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,56.14,22.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,56.03,29.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,53.11,18.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,54.53,19.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,53.22,18.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,54.62,21.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,54.5,26.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,55.21,19.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,54.62,13.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,55.12,17.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,56.29,17.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,55.16,26.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,50.6,15.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,54.24,17.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,56.14,15.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,53.75,16.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,55.0,14.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,52.5,10.0,False,False
R2 Delta Hwy/101745,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,53.6,5.0,False,False
