site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
R2 OR18/102111,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,62.57,14.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,58.95,18.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,57.81,16.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,57.4,27.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,58.58,19.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,57.61,18.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,57.56,18.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,61.2,5.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,56.82,11.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,58.57,14.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,56.71,7.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,56.5,8.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,60.14,7.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,62.25,4.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,60.25,4.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,59.83,6.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,57.63,8.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,57.33,6.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,59.8,5.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,60.17,6.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,59.6,5.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,53.25,4.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,63.5,8.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,57.29,7.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,59.45,11.0,False,False
R2 OR18/102111,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,53.17,6.0,False,False
