site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
R2 OR18/102113,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,59.5,8.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,59.57,14.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,60.33,18.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,59.69,26.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,60.77,13.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,57.27,15.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,58.0,18.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,60.1,20.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,60.13,15.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,61.95,19.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,58.5,8.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,61.43,7.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,59.5,4.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,60.39,13.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,58.0,10.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,57.14,7.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,61.67,12.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,60.17,12.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,60.5,6.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,61.5,6.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,58.38,8.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,59.91,11.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,63.0,10.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,60.75,12.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,60.3,20.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,61.0,15.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,59.31,19.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,61.55,11.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,55.13,8.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,55.6,10.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,59.45,20.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,59.21,24.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,57.26,19.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,59.74,27.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,59.65,37.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,60.07,28.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,60.85,33.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,60.46,26.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,62.08,41.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,63.12,17.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,61.58,45.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,55.74,61.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,59.48,54.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,60.46,70.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,61.28,70.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,62.2,65.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,59.01,116.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,59.42,116.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,60.27,115.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,60.66,139.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,59.93,121.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,59.18,135.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,59.45,126.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,59.6,142.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,60.83,109.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,59.99,97.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,60.49,94.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,59.06,117.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,59.74,105.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,59.46,105.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,58.51,126.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,60.33,108.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,58.28,95.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,59.05,120.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,59.82,117.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,59.63,89.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,60.15,95.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,60.74,74.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,59.89,86.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,60.71,85.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,58.4,102.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,60.83,110.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,60.57,68.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,61.01,74.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,63.6,48.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,58.59,63.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,61.6,52.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,61.42,48.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,61.28,25.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,60.52,25.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,58.73,44.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,60.39,31.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,61.46,28.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,61.8,15.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,60.7,30.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,61.2,15.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,61.23,26.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,63.77,13.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,60.47,15.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,57.5,6.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,59.67,6.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 22:59:00.000000,91,63.7,10.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 23:14:00.000000,92,60.5,6.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 23:29:00.000000,93,64.29,7.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 23:44:00.000000,94,59.88,8.0,False,False
R2 OR18/102113,1,2019-01-01,1,2019-01-01 23:59:00.000000,95,62.0,5.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 00:14:00.000000,0,58.5,8.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 00:29:00.000000,1,55.25,4.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 00:44:00.000000,2,60.28,7.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 00:59:00.000000,3,61.71,7.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 01:14:00.000000,4,66.0,1.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 01:29:00.000000,5,60.75,4.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 01:44:00.000000,6,57.83,6.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 01:59:00.000000,7,57.2,5.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 02:14:00.000000,8,60.75,4.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 02:29:00.000000,9,60.28,7.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 02:44:00.000000,10,62.9,10.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 02:59:00.000000,11,57.0,9.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 03:14:00.000000,12,61.88,8.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 03:29:00.000000,13,58.13,8.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 03:44:00.000000,14,56.86,7.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 03:59:00.000000,15,62.36,11.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 04:14:00.000000,16,61.78,23.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 04:29:00.000000,17,59.7,30.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 04:44:00.000000,18,60.4,35.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 04:59:00.000000,19,61.22,46.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 05:14:00.000000,20,61.11,37.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 05:29:00.000000,21,61.58,94.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 05:44:00.000000,22,59.6,113.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 05:59:00.000000,23,59.59,111.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 06:14:00.000000,24,60.03,107.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 06:29:00.000000,25,60.05,148.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 06:44:00.000000,26,58.81,120.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 06:59:00.000000,27,59.82,112.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 07:14:00.000000,28,58.74,95.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 07:29:00.000000,29,57.89,99.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 07:44:00.000000,30,55.55,136.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 07:59:00.000000,31,56.97,140.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 08:14:00.000000,32,57.67,72.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 08:29:00.000000,33,56.87,87.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 08:44:00.000000,34,57.31,119.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 08:59:00.000000,35,58.79,98.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 09:14:00.000000,36,57.2,44.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 09:29:00.000000,37,56.77,70.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 09:44:00.000000,38,59.03,83.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 09:59:00.000000,39,58.69,95.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 10:14:00.000000,40,56.95,98.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 10:29:00.000000,41,59.72,98.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 10:44:00.000000,42,58.86,106.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 10:59:00.000000,43,56.84,80.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 11:14:00.000000,44,56.72,95.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 11:29:00.000000,45,60.08,105.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 11:44:00.000000,46,58.72,101.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 11:59:00.000000,47,58.72,120.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 12:14:00.000000,48,59.48,102.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 12:29:00.000000,49,59.9,90.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 12:44:00.000000,50,59.12,96.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 12:59:00.000000,51,59.15,107.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 13:14:00.000000,52,59.23,120.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 13:29:00.000000,53,59.08,112.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 13:44:00.000000,54,59.05,98.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 13:59:00.000000,55,59.79,95.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 14:14:00.000000,56,58.71,94.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 14:29:00.000000,57,58.55,115.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 14:44:00.000000,58,58.19,113.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 14:59:00.000000,59,56.45,86.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 15:14:00.000000,60,59.78,87.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 15:29:00.000000,61,59.04,119.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 15:44:00.000000,62,56.56,100.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 15:59:00.000000,63,58.1,105.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 16:14:00.000000,64,57.84,126.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 16:29:00.000000,65,57.99,130.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 16:44:00.000000,66,58.18,106.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 16:59:00.000000,67,55.78,156.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 17:14:00.000000,68,57.72,110.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 17:29:00.000000,69,56.34,117.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 17:44:00.000000,70,59.37,82.0,False,False
R2 OR18/102113,2,2019-01-02,2,2019-01-02 17:59:00.000000,71,58.28,89.0,False,False
