site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
US26/100627,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,60.49,35.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,60.53,59.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,59.4,125.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,59.02,132.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,61.29,110.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,59.83,96.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,60.9,89.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,61.38,60.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,61.03,71.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,63.25,51.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,61.87,39.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,63.63,49.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,60.61,49.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,60.35,43.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,64.08,25.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,61.56,18.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,59.4,30.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,60.85,20.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,62.23,22.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,59.92,23.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,61.23,26.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,61.73,26.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,63.47,32.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,62.87,40.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,60.12,26.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,60.94,52.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,60.56,48.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,61.92,60.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,60.4,45.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,60.4,57.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,60.54,59.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,62.36,67.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,63.09,44.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,63.46,61.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,63.38,66.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,62.63,86.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,62.17,77.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,62.05,109.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,63.06,105.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,62.66,145.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,62.19,134.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,63.94,155.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,62.88,210.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,62.1,226.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,62.51,172.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,61.67,241.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,63.9,222.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,61.84,288.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,61.98,244.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,61.0,296.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,60.71,282.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,60.13,301.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,55.81,274.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,62.07,271.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,59.95,295.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,60.29,300.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,62.41,243.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,61.38,300.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,61.73,272.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,62.44,230.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,63.56,223.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,62.64,260.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,62.39,254.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,61.98,296.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,62.23,237.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,62.3,194.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,61.41,177.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,59.17,222.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,59.18,231.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,59.63,242.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,59.51,245.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,59.72,253.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,59.25,228.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,59.63,232.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,59.19,260.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,60.87,189.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,60.74,170.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,61.32,190.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,61.69,170.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,62.03,166.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,61.45,145.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,62.39,110.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,62.3,130.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,61.69,111.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,62.9,80.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,62.16,110.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,62.45,90.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,63.02,94.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,62.01,73.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,63.65,57.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,62.85,54.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 22:59:00.000000,91,64.22,50.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 23:14:00.000000,92,62.11,37.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 23:29:00.000000,93,62.8,40.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 23:44:00.000000,94,60.55,34.0,False,False
US26/100627,1,2019-01-01,1,2019-01-01 23:59:00.000000,95,63.15,33.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 00:14:00.000000,0,61.85,33.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 00:29:00.000000,1,61.08,27.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 00:44:00.000000,2,60.35,26.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 00:59:00.000000,3,59.25,8.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 01:14:00.000000,4,56.46,13.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 01:29:00.000000,5,58.7,10.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 01:44:00.000000,6,62.06,16.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 01:59:00.000000,7,62.57,14.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 02:14:00.000000,8,58.11,19.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 02:29:00.000000,9,61.37,19.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 02:44:00.000000,10,60.21,19.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 02:59:00.000000,11,65.44,16.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 03:14:00.000000,12,58.54,13.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 03:29:00.000000,13,62.2,20.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 03:44:00.000000,14,63.16,31.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 03:59:00.000000,15,65.78,32.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 04:14:00.000000,16,61.2,35.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 04:29:00.000000,17,62.23,70.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 04:44:00.000000,18,64.9,90.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 04:59:00.000000,19,64.28,132.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 05:14:00.000000,20,62.31,132.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 05:29:00.000000,21,60.49,206.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 05:44:00.000000,22,60.4,325.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 05:59:00.000000,23,57.41,325.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 06:14:00.000000,24,54.13,423.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 06:29:00.000000,25,48.87,311.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 06:44:00.000000,26,38.5,390.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 06:59:00.000000,27,29.13,376.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 07:14:00.000000,28,28.64,291.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 07:29:00.000000,29,26.67,329.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 07:44:00.000000,30,28.23,358.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 07:59:00.000000,31,25.77,324.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 08:14:00.000000,32,29.84,375.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 08:29:00.000000,33,33.75,375.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 08:44:00.000000,34,29.5,286.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 08:59:00.000000,35,43.56,391.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 09:14:00.000000,36,56.11,301.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 09:29:00.000000,37,55.97,323.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 09:44:00.000000,38,55.68,319.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 09:59:00.000000,39,55.53,357.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 10:14:00.000000,40,57.36,327.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 10:29:00.000000,41,56.33,295.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 10:44:00.000000,42,55.54,367.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 10:59:00.000000,43,58.11,357.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 11:14:00.000000,44,55.64,309.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 11:29:00.000000,45,58.1,332.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 11:44:00.000000,46,58.69,356.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 11:59:00.000000,47,58.59,366.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 12:14:00.000000,48,58.44,332.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 12:29:00.000000,49,56.84,321.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 12:44:00.000000,50,57.88,386.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 12:59:00.000000,51,57.94,374.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 13:14:00.000000,52,58.07,388.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 13:29:00.000000,53,52.0,361.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 13:44:00.000000,54,56.72,270.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 13:59:00.000000,55,55.67,302.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 14:14:00.000000,56,58.66,325.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 14:29:00.000000,57,34.24,309.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 14:44:00.000000,58,26.1,252.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 14:59:00.000000,59,34.41,290.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 15:14:00.000000,60,54.37,278.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 15:29:00.000000,61,36.57,319.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 15:44:00.000000,62,47.7,295.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 15:59:00.000000,63,55.22,320.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 16:14:00.000000,64,55.01,255.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 16:29:00.000000,65,53.25,308.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 16:44:00.000000,66,49.96,268.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 16:59:00.000000,67,33.3,320.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 17:14:00.000000,68,44.33,278.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 17:29:00.000000,69,51.02,277.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 17:44:00.000000,70,48.96,305.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 17:59:00.000000,71,54.37,252.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 18:14:00.000000,72,55.81,257.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 18:29:00.000000,73,55.89,264.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 18:44:00.000000,74,56.27,222.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 18:59:00.000000,75,56.83,200.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 19:14:00.000000,76,58.23,204.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 19:29:00.000000,77,58.58,227.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 19:44:00.000000,78,60.85,223.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 19:59:00.000000,79,61.84,187.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 20:14:00.000000,80,63.35,146.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 20:29:00.000000,81,61.47,174.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 20:44:00.000000,82,61.76,128.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 20:59:00.000000,83,62.24,128.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 21:14:00.000000,84,62.6,97.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 21:29:00.000000,85,63.09,115.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 21:44:00.000000,86,62.6,106.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 21:59:00.000000,87,61.5,96.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 22:14:00.000000,88,63.93,84.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 22:29:00.000000,89,63.31,48.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 22:44:00.000000,90,62.03,73.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 22:59:00.000000,91,61.9,66.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 23:14:00.000000,92,61.65,31.0,False,False
US26/100627,2,2019-01-02,2,2019-01-02 23:29:00.000000,93,62.76,41.0,False,False
