site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
US26/100650,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,61.2,30.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,61.1,148.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,60.91,169.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,61.62,150.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,59.45,151.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,61.13,107.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,61.07,114.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,60.35,88.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,61.53,87.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,61.77,66.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,61.87,68.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,61.89,64.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,61.92,37.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,62.25,40.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,59.62,26.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,60.61,23.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,63.04,24.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,61.08,13.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,63.73,11.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,62.95,22.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,61.0,21.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,63.25,16.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,62.53,19.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,63.21,24.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,65.0,17.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,64.06,32.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,64.26,43.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,62.88,40.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,63.76,37.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,63.41,34.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,63.59,39.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,63.97,32.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,65.71,31.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,66.72,35.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,65.08,35.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,64.91,53.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,64.12,58.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,63.34,73.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,64.81,61.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,65.24,77.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,64.09,98.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,64.96,123.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,64.31,121.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,65.29,131.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,63.8,168.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,63.99,181.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,64.45,158.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,64.46,176.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,64.59,190.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,63.65,212.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,64.2,176.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,64.88,209.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,61.24,143.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,61.67,246.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,49.14,97.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,62.19,217.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,63.28,241.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,64.75,233.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,65.19,261.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,63.81,232.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,63.62,215.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,63.77,218.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,63.25,233.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,63.88,243.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,64.41,219.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,61.73,189.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,61.56,211.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,62.24,248.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,61.23,256.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,60.79,262.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,61.44,218.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,61.47,231.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,61.61,217.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,60.73,238.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,61.17,199.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,62.27,142.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,61.65,152.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,62.33,174.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,61.55,158.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,61.95,129.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,62.34,143.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,63.22,100.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,62.56,131.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,61.98,83.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,63.52,92.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,63.09,95.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,64.61,75.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,62.09,94.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,61.85,76.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,62.44,45.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,62.63,62.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 22:59:00.000000,91,64.6,63.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 23:14:00.000000,92,62.46,46.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 23:29:00.000000,93,61.73,52.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 23:44:00.000000,94,59.59,37.0,False,False
US26/100650,1,2019-01-01,1,2019-01-01 23:59:00.000000,95,61.6,43.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 00:14:00.000000,0,59.64,22.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 00:29:00.000000,1,59.67,21.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 00:44:00.000000,2,62.11,19.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 00:59:00.000000,3,60.2,15.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 01:14:00.000000,4,64.36,11.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 01:29:00.000000,5,60.17,12.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 01:44:00.000000,6,63.46,11.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 01:59:00.000000,7,61.93,14.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 02:14:00.000000,8,63.0,2.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 02:29:00.000000,9,61.0,11.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 02:44:00.000000,10,62.27,11.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 02:59:00.000000,11,60.0,5.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 03:14:00.000000,12,59.78,14.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 03:29:00.000000,13,60.4,5.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 03:44:00.000000,14,62.37,11.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 03:59:00.000000,15,63.0,8.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 04:14:00.000000,16,64.17,6.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 04:29:00.000000,17,65.59,17.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 04:44:00.000000,18,65.64,22.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 04:59:00.000000,19,64.75,57.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 05:14:00.000000,20,65.35,79.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 05:29:00.000000,21,64.96,147.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 05:44:00.000000,22,64.69,244.0,False,False
US26/100650,2,2019-01-02,2,2019-01-02 05:59:00.000000,23,65.0,211.0,False,False
