"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"A14/1107A",0,2019-01-07,7,2019-01-07 00:14:00,0,64,29,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 00:29:00,1,61,17,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 00:44:00,2,63,20,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 00:59:00,3,61,16,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 01:14:00,4,62,15,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 01:29:00,5,62,17,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 01:44:00,6,63,18,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 01:59:00,7,58,23,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 02:14:00,8,57,21,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 02:29:00,9,63,17,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 02:44:00,10,58,22,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 02:59:00,11,58,16,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 03:14:00,12,57,13,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 03:29:00,13,57,23,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 03:44:00,14,59,19,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 03:59:00,15,59,22,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 04:14:00,16,59,31,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 04:29:00,17,59,32,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 04:44:00,18,62,35,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 04:59:00,19,59,44,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 05:14:00,20,58,72,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 05:29:00,21,59,62,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 05:44:00,22,61,108,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 05:59:00,23,63,137,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 06:14:00,24,64,193,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 06:29:00,25,63,214,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 06:44:00,26,63,273,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 06:59:00,27,64,258,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 07:14:00,28,66,273,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 07:29:00,29,64,293,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 07:44:00,30,65,290,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 07:59:00,31,66,260,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 08:14:00,32,66,290,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 08:29:00,33,66,282,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 08:44:00,34,66,222,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 08:59:00,35,66,258,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 09:14:00,36,65,243,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 09:29:00,37,63,278,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 09:44:00,38,62,271,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 09:59:00,39,63,259,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 10:14:00,40,63,264,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 10:29:00,41,64,260,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 10:44:00,42,62,227,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 10:59:00,43,63,255,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 11:14:00,44,61,266,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 11:29:00,45,61,275,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 11:44:00,46,62,242,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 11:59:00,47,61,278,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 12:14:00,48,62,283,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 12:29:00,49,62,301,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 12:44:00,50,62,248,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 12:59:00,51,62,291,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 13:14:00,52,62,282,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 13:29:00,53,62,287,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 13:44:00,54,62,275,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 13:59:00,55,62,288,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 14:14:00,56,61,317,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 14:29:00,57,61,311,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 14:44:00,58,62,350,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 14:59:00,59,62,326,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 15:14:00,60,61,392,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 15:29:00,61,62,387,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 15:44:00,62,62,381,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 15:59:00,63,64,395,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 16:14:00,64,63,432,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 16:29:00,65,64,467,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 16:44:00,66,62,520,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 16:59:00,67,63,518,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 17:14:00,68,64,489,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 17:29:00,69,64,544,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 17:44:00,70,64,511,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 17:59:00,71,62,465,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 18:14:00,72,65,407,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 18:29:00,73,65,399,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 18:44:00,74,67,314,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 18:59:00,75,66,225,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 19:14:00,76,68,213,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 19:29:00,77,67,161,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 19:44:00,78,66,184,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 19:59:00,79,66,139,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 20:14:00,80,65,125,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 20:29:00,81,63,135,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 20:44:00,82,65,113,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 20:59:00,83,64,114,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 21:14:00,84,65,87,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 21:29:00,85,64,70,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 21:44:00,86,63,65,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 21:59:00,87,66,64,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 22:14:00,88,63,62,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 22:29:00,89,65,62,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 22:44:00,90,66,46,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 22:59:00,91,63,59,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 23:14:00,92,64,40,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 23:29:00,93,62,18,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 23:44:00,94,62,32,FALSE,FALSE
"A14/1107A",0,2019-01-07,7,2019-01-07 23:59:00,95,62,33,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 00:14:00,0,62,30,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 00:29:00,1,62,28,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 00:44:00,2,62,17,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 00:59:00,3,58,17,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 01:14:00,4,61,23,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 01:29:00,5,62,13,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 01:44:00,6,65,12,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 01:59:00,7,59,20,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 02:14:00,8,60,21,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 02:29:00,9,63,18,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 02:44:00,10,62,17,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 02:59:00,11,56,16,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 03:14:00,12,59,14,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 03:29:00,13,62,10,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 03:44:00,14,59,17,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 03:59:00,15,56,24,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 04:14:00,16,57,31,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 04:29:00,17,60,31,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 04:44:00,18,60,22,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 04:59:00,19,60,36,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 05:14:00,20,62,88,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 05:29:00,21,61,85,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 05:44:00,22,62,107,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 05:59:00,23,63,149,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 06:14:00,24,63,173,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 06:29:00,25,63,217,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 06:44:00,26,65,236,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 06:59:00,27,65,278,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 07:14:00,28,65,306,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 07:29:00,29,66,283,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 07:44:00,30,66,312,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 07:59:00,31,67,273,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 08:14:00,32,68,274,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 08:29:00,33,67,262,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 08:44:00,34,66,292,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 08:59:00,35,67,243,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 09:14:00,36,65,243,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 09:29:00,37,66,219,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 09:44:00,38,64,291,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 09:59:00,39,64,274,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 10:14:00,40,64,247,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 10:29:00,41,64,242,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 10:44:00,42,64,234,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 10:59:00,43,64,295,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 11:14:00,44,63,305,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 11:29:00,45,62,292,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 11:44:00,46,62,287,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 11:59:00,47,61,326,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 12:14:00,48,61,285,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 12:29:00,49,61,303,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 12:44:00,50,61,286,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 12:59:00,51,61,276,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 13:14:00,52,61,281,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 13:29:00,53,63,314,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 13:44:00,54,61,307,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 13:59:00,55,61,275,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 14:14:00,56,60,327,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 14:29:00,57,62,345,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 14:44:00,58,62,329,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 14:59:00,59,62,371,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 15:14:00,60,62,323,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 15:29:00,61,62,389,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 15:44:00,62,62,414,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 15:59:00,63,63,447,FALSE,FALSE
"A14/1107A",0,2019-01-14,14,2019-01-14 16:14:00,64,63,459,FALSE,FALSE
