"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"A14/1144B",0,2019-01-07,7,2019-01-07 00:14:00,0,65,34,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 00:29:00,1,59,27,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 00:44:00,2,62,27,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 00:59:00,3,58,36,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 01:14:00,4,58,37,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 01:29:00,5,58,47,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 01:44:00,6,57,44,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 01:59:00,7,59,34,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 02:14:00,8,58,31,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 02:29:00,9,59,29,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 02:44:00,10,58,40,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 02:59:00,11,58,55,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 03:14:00,12,58,61,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 03:29:00,13,59,61,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 03:44:00,14,61,77,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 03:59:00,15,59,82,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 04:14:00,16,60,132,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 04:29:00,17,60,178,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 04:44:00,18,62,198,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 04:59:00,19,61,254,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 05:14:00,20,62,359,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 05:29:00,21,61,398,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 05:44:00,22,61,466,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 05:59:00,23,62,561,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 06:14:00,24,60,691,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 06:29:00,25,61,778,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 06:44:00,26,58,957,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 06:59:00,27,58,1143,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 07:14:00,28,56,1170,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 07:29:00,29,57,1216,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 07:44:00,30,58,1166,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 07:59:00,31,54,1128,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 08:14:00,32,47,1048,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 08:29:00,33,60,853,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 08:44:00,34,58,815,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 08:59:00,35,42,726,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 09:14:00,36,61,768,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 09:29:00,37,63,654,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 09:44:00,38,63,667,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 09:59:00,39,64,536,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 10:14:00,40,63,619,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 10:29:00,41,62,545,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 10:44:00,42,62,523,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 10:59:00,43,63,534,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 11:14:00,44,62,505,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 11:29:00,45,63,480,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 11:44:00,46,63,568,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 11:59:00,47,63,493,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 12:14:00,48,64,462,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 12:29:00,49,63,438,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 12:44:00,50,63,534,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 12:59:00,51,63,471,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 13:14:00,52,63,465,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 13:29:00,53,63,462,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 13:44:00,54,61,551,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 13:59:00,55,63,506,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 14:14:00,56,63,453,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 14:29:00,57,63,492,FALSE,FALSE
"A14/1144B",0,2019-01-07,7,2019-01-07 14:44:00,58,62,515,FALSE,FALSE
