"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"A1M/9842B",0,2019-01-07,7,2019-01-07 00:14:00,0,67,53,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 00:29:00,1,63,49,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 00:44:00,2,64,42,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 00:59:00,3,62,52,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 01:14:00,4,60,49,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 01:29:00,5,61,41,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 01:44:00,6,59,35,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 01:59:00,7,61,48,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 02:14:00,8,64,43,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 02:29:00,9,64,59,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 02:44:00,10,63,48,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 02:59:00,11,65,85,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 03:14:00,12,66,111,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 03:29:00,13,67,80,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 03:44:00,14,69,100,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 03:59:00,15,70,117,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 04:14:00,16,67,124,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 04:29:00,17,69,161,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 04:44:00,18,69,202,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 04:59:00,19,68,245,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 05:14:00,20,68,293,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 05:29:00,21,67,322,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 05:44:00,22,68,331,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 05:59:00,23,67,415,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 06:14:00,24,68,552,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 06:29:00,25,68,538,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 06:44:00,26,66,707,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 06:59:00,27,66,829,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 07:14:00,28,62,823,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 07:29:00,29,64,910,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 07:44:00,30,65,887,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 07:59:00,31,66,827,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 08:14:00,32,65,766,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 08:29:00,33,64,761,FALSE,FALSE
"A1M/9842B",0,2019-01-07,7,2019-01-07 08:44:00,34,67,669,FALSE,FALSE
