"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"A1M/9847A",0,2019-01-07,7,2019-01-07 00:14:00,0,64,69,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 00:29:00,1,65,62,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 00:44:00,2,66,68,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 00:59:00,3,64,59,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 01:14:00,4,63,64,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 01:29:00,5,63,63,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 01:44:00,6,64,61,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 01:59:00,7,64,47,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 02:14:00,8,62,46,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 02:29:00,9,62,47,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 02:44:00,10,58,49,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 02:59:00,11,61,70,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 03:14:00,12,61,62,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 03:29:00,13,60,63,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 03:44:00,14,62,77,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 03:59:00,15,60,74,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 04:14:00,16,63,90,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 04:29:00,17,62,98,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 04:44:00,18,62,114,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 04:59:00,19,62,143,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 05:14:00,20,63,178,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 05:29:00,21,64,246,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 05:44:00,22,63,288,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 05:59:00,23,65,388,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 06:14:00,24,67,441,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 06:29:00,25,66,556,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 06:44:00,26,65,594,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 06:59:00,27,65,658,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 07:14:00,28,65,663,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 07:29:00,29,64,752,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 07:44:00,30,65,789,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 07:59:00,31,66,704,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 08:14:00,32,66,676,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 08:29:00,33,65,693,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 08:44:00,34,65,671,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 08:59:00,35,65,661,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 09:14:00,36,66,645,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 09:29:00,37,66,606,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 09:44:00,38,67,591,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 09:59:00,39,66,514,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 10:14:00,40,66,522,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 10:29:00,41,65,498,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 10:44:00,42,66,513,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 10:59:00,43,65,508,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 11:14:00,44,65,488,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 11:29:00,45,64,442,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 11:44:00,46,67,465,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 11:59:00,47,65,501,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 12:14:00,48,66,492,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 12:29:00,49,66,458,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 12:44:00,50,66,456,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 12:59:00,51,65,504,FALSE,FALSE
"A1M/9847A",0,2019-01-07,7,2019-01-07 13:14:00,52,66,483,FALSE,FALSE
