"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"7572/1",0,2019-01-07,7,2019-01-07 00:14:00,0,59,28,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 00:29:00,1,61,28,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 00:44:00,2,61,29,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 00:59:00,3,59,20,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 01:14:00,4,61,19,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 01:29:00,5,60,20,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 01:44:00,6,63,23,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 01:59:00,7,62,17,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 02:14:00,8,55,10,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 02:29:00,9,56,13,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 02:44:00,10,59,12,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 02:59:00,11,57,13,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 03:14:00,12,62,15,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 03:29:00,13,60,21,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 03:44:00,14,62,13,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 03:59:00,15,58,26,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 04:14:00,16,62,28,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 04:29:00,17,60,47,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 04:44:00,18,61,43,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 04:59:00,19,64,67,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 05:14:00,20,61,87,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 05:29:00,21,63,121,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 05:44:00,22,63,171,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 05:59:00,23,63,190,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 06:14:00,24,64,155,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 06:29:00,25,63,207,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 06:44:00,26,63,289,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 06:59:00,27,63,415,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 07:14:00,28,62,484,FALSE,FALSE
"7572/1",0,2019-01-07,7,2019-01-07 07:29:00,29,60,562,FALSE,FALSE
