"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M11/6747A",0,2019-01-07,7,2019-01-07 00:14:00,0,69,50,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 00:29:00,1,68,75,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 00:44:00,2,68,67,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 00:59:00,3,66,78,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 01:14:00,4,66,73,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 01:29:00,5,63,62,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 01:44:00,6,63,49,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 01:59:00,7,66,33,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 02:14:00,8,63,33,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 02:29:00,9,60,46,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 02:44:00,10,59,33,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 02:59:00,11,60,32,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 03:14:00,12,66,31,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 03:29:00,13,64,40,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 03:44:00,14,61,33,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 03:59:00,15,61,39,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 04:14:00,16,62,45,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 04:29:00,17,62,58,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 04:44:00,18,63,73,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 04:59:00,19,61,83,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 05:14:00,20,64,103,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 05:29:00,21,64,117,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 05:44:00,22,61,121,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 05:59:00,23,65,175,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 06:14:00,24,62,247,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 06:29:00,25,65,287,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 06:44:00,26,62,334,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 06:59:00,27,64,349,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 07:14:00,28,64,410,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 07:29:00,29,62,397,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 07:44:00,30,64,401,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 07:59:00,31,64,428,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 08:14:00,32,65,341,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 08:29:00,33,62,399,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 08:44:00,34,65,322,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 08:59:00,35,64,333,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 09:14:00,36,65,336,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 09:29:00,37,66,275,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 09:44:00,38,68,225,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 09:59:00,39,67,256,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 10:14:00,40,67,268,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 10:29:00,41,66,279,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 10:44:00,42,66,277,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 10:59:00,43,64,246,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 11:14:00,44,65,260,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 11:29:00,45,66,230,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 11:44:00,46,64,240,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 11:59:00,47,64,278,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 12:14:00,48,63,266,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 12:29:00,49,65,303,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 12:44:00,50,63,269,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 12:59:00,51,66,270,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 13:14:00,52,65,257,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 13:29:00,53,66,245,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 13:44:00,54,65,251,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 13:59:00,55,66,278,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 14:14:00,56,65,298,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 14:29:00,57,66,283,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 14:44:00,58,64,258,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 14:59:00,59,66,245,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 15:14:00,60,67,268,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 15:29:00,61,64,276,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 15:44:00,62,63,286,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 15:59:00,63,68,263,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 16:14:00,64,65,277,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 16:29:00,65,64,254,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 16:44:00,66,65,285,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 16:59:00,67,66,229,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 17:14:00,68,65,262,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 17:29:00,69,64,278,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 17:44:00,70,63,276,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 17:59:00,71,65,252,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 18:14:00,72,65,272,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 18:29:00,73,66,227,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 18:44:00,74,65,211,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 18:59:00,75,68,176,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 19:14:00,76,67,153,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 19:29:00,77,67,140,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 19:44:00,78,68,140,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 19:59:00,79,65,141,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 20:14:00,80,69,147,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 20:29:00,81,66,149,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 20:44:00,82,65,137,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 20:59:00,83,66,95,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 21:14:00,84,66,110,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 21:29:00,85,63,85,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 21:44:00,86,62,70,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 21:59:00,87,61,69,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 22:14:00,88,61,81,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 22:29:00,89,61,67,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 22:44:00,90,61,68,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 22:59:00,91,61,61,FALSE,FALSE
"M11/6747A",0,2019-01-07,7,2019-01-07 23:14:00,92,63,52,FALSE,FALSE
