"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M18/7569B",0,2019-01-07,7,2019-01-07 00:14:00,0,64,41,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 00:29:00,1,64,66,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 00:44:00,2,60,43,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 00:59:00,3,61,68,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 01:14:00,4,61,32,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 01:29:00,5,65,34,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 01:44:00,6,60,42,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 01:59:00,7,61,45,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 02:14:00,8,60,40,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 02:29:00,9,61,36,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 02:44:00,10,60,32,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 02:59:00,11,65,69,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 03:14:00,12,65,60,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 03:29:00,13,66,76,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 03:44:00,14,66,74,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 03:59:00,15,66,126,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 04:14:00,16,65,124,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 04:29:00,17,66,195,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 04:44:00,18,65,204,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 04:59:00,19,65,246,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 05:14:00,20,65,345,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 05:29:00,21,65,398,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 05:44:00,22,66,473,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 05:59:00,23,66,465,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 06:14:00,24,65,541,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 06:29:00,25,64,680,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 06:44:00,26,64,733,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 06:59:00,27,63,835,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 07:14:00,28,61,984,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 07:29:00,29,56,1018,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 07:44:00,30,25,882,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 07:59:00,31,17,837,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 08:14:00,32,20,859,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 08:29:00,33,20,886,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 08:44:00,34,46,864,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 08:59:00,35,65,771,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 09:14:00,36,64,693,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 09:29:00,37,64,753,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 09:44:00,38,64,753,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 09:59:00,39,64,630,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 10:14:00,40,65,651,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 10:29:00,41,65,624,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 10:44:00,42,64,673,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 10:59:00,43,64,654,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 11:14:00,44,63,642,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 11:29:00,45,63,646,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 11:44:00,46,64,605,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 11:59:00,47,64,619,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 12:14:00,48,65,669,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 12:29:00,49,64,648,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 12:44:00,50,63,664,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 12:59:00,51,63,668,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 13:14:00,52,65,703,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 13:29:00,53,63,657,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 13:44:00,54,63,640,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 13:59:00,55,63,665,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 14:14:00,56,64,684,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 14:29:00,57,65,707,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 14:44:00,58,65,696,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 14:59:00,59,63,702,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 15:14:00,60,64,708,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 15:29:00,61,63,769,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 15:44:00,62,65,564,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 15:59:00,63,58,1007,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 16:14:00,64,62,860,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 16:29:00,65,62,984,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 16:44:00,66,61,927,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 16:59:00,67,60,914,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 17:14:00,68,61,908,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 17:29:00,69,61,925,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 17:44:00,70,61,940,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 17:59:00,71,63,901,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 18:14:00,72,62,821,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 18:29:00,73,64,744,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 18:44:00,74,66,585,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 18:59:00,75,62,522,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 19:14:00,76,65,434,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 19:29:00,77,64,365,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 19:44:00,78,65,337,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 19:59:00,79,65,261,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 20:14:00,80,64,293,FALSE,FALSE
"M18/7569B",0,2019-01-07,7,2019-01-07 20:29:00,81,64,285,FALSE,FALSE
