"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M20/6552A2",0,2019-01-07,7,2019-01-07 00:14:00,0,57,33,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 00:29:00,1,56,26,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 00:44:00,2,55,21,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 00:59:00,3,55,24,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 01:14:00,4,56,26,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 01:29:00,5,56,13,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 01:44:00,6,58,14,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 01:59:00,7,54,18,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 02:14:00,8,56,17,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 02:29:00,9,56,20,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 02:44:00,10,56,18,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 02:59:00,11,55,20,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 03:14:00,12,54,13,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 03:29:00,13,56,18,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 03:44:00,14,55,28,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 03:59:00,15,58,28,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 04:14:00,16,56,26,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 04:29:00,17,54,22,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 04:44:00,18,57,27,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 04:59:00,19,57,44,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 05:14:00,20,56,43,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 05:29:00,21,57,76,FALSE,FALSE
"M20/6552A2",0,2019-01-07,7,2019-01-07 05:44:00,22,57,78,FALSE,FALSE
