"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M20/6572B2",0,2019-01-07,7,2019-01-07 00:14:00,0,56,17,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 00:29:00,1,52,14,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 00:44:00,2,58,29,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 00:59:00,3,58,15,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 01:14:00,4,55,13,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 01:29:00,5,62,9,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 01:44:00,6,57,10,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 01:59:00,7,54,11,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 02:14:00,8,55,25,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 02:29:00,9,55,17,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 02:44:00,10,55,10,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 02:59:00,11,53,12,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 03:14:00,12,57,14,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 03:29:00,13,57,17,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 03:44:00,14,58,18,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 03:59:00,15,56,31,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 04:14:00,16,55,24,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 04:29:00,17,55,36,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 04:44:00,18,58,54,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 04:59:00,19,58,60,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 05:14:00,20,59,94,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 05:29:00,21,58,140,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 05:44:00,22,56,151,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 05:59:00,23,57,184,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 06:14:00,24,53,363,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 06:29:00,25,49,432,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 06:44:00,26,29,511,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 06:59:00,27,23,424,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 07:14:00,28,20,432,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 07:29:00,29,17,368,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 07:44:00,30,18,403,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 07:59:00,31,22,472,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 08:14:00,32,38,533,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 08:29:00,33,37,592,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 08:44:00,34,40,582,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 08:59:00,35,51,427,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 09:14:00,36,53,357,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 09:29:00,37,53,336,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 09:44:00,38,52,289,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 09:59:00,39,53,257,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 10:14:00,40,54,234,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 10:29:00,41,54,202,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 10:44:00,42,55,196,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 10:59:00,43,54,217,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 11:14:00,44,55,226,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 11:29:00,45,56,228,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 11:44:00,46,55,243,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 11:59:00,47,56,237,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 12:14:00,48,54,238,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 12:29:00,49,55,251,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 12:44:00,50,54,243,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 12:59:00,51,55,265,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 13:14:00,52,54,260,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 13:29:00,53,55,287,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 13:44:00,54,55,255,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 13:59:00,55,56,261,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 14:14:00,56,56,249,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 14:29:00,57,56,283,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 14:44:00,58,53,294,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 14:59:00,59,53,295,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 15:14:00,60,56,260,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 15:29:00,61,57,277,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 15:44:00,62,56,328,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 15:59:00,63,54,301,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 16:14:00,64,54,353,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 16:29:00,65,53,358,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 16:44:00,66,51,357,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 16:59:00,67,52,361,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 17:14:00,68,52,343,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 17:29:00,69,53,367,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 17:44:00,70,52,391,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 17:59:00,71,53,343,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 18:14:00,72,53,315,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 18:29:00,73,53,281,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 18:44:00,74,55,228,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 18:59:00,75,55,178,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 19:14:00,76,57,183,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 19:29:00,77,57,122,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 19:44:00,78,58,88,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 19:59:00,79,57,88,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 20:14:00,80,56,91,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 20:29:00,81,56,105,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 20:44:00,82,57,64,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 20:59:00,83,57,61,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 21:14:00,84,54,60,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 21:29:00,85,58,93,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 21:44:00,86,57,58,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 21:59:00,87,53,46,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 22:14:00,88,52,59,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 22:29:00,89,57,38,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 22:44:00,90,58,32,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 22:59:00,91,57,27,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 23:14:00,92,56,19,FALSE,FALSE
"M20/6572B2",0,2019-01-07,7,2019-01-07 23:29:00,93,57,22,FALSE,FALSE
