"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M25/4490B",0,2019-01-07,7,2019-01-07 00:14:00,0,67,153,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 00:29:00,1,68,135,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 00:44:00,2,66,114,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 00:59:00,3,67,101,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 01:14:00,4,65,78,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 01:29:00,5,64,81,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 01:44:00,6,65,81,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 01:59:00,7,65,86,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 02:14:00,8,65,77,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 02:29:00,9,63,57,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 02:44:00,10,64,55,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 02:59:00,11,64,60,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 03:14:00,12,64,69,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 03:29:00,13,65,76,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 03:44:00,14,66,100,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 03:59:00,15,66,98,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 04:14:00,16,66,110,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 04:29:00,17,67,159,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 04:44:00,18,66,221,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 04:59:00,19,67,223,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 05:14:00,20,66,306,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 05:29:00,21,67,357,FALSE,FALSE
"M25/4490B",0,2019-01-07,7,2019-01-07 05:44:00,22,67,490,FALSE,FALSE
