"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M25/4565A",0,2019-01-07,7,2019-01-07 00:14:00,0,58,199,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 00:29:00,1,60,222,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 00:44:00,2,61,245,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 00:59:00,3,59,220,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 01:14:00,4,59,194,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 01:29:00,5,58,148,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 01:44:00,6,59,149,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 01:59:00,7,65,127,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 02:14:00,8,66,95,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 02:29:00,9,67,86,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 02:44:00,10,69,139,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 02:59:00,11,64,111,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 03:14:00,12,67,119,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 03:29:00,13,67,113,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 03:44:00,14,65,132,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 03:59:00,15,66,121,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 04:14:00,16,66,152,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 04:29:00,17,65,194,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 04:44:00,18,67,267,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 04:59:00,19,68,372,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 05:14:00,20,69,485,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 05:29:00,21,68,628,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 05:44:00,22,69,920,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 05:59:00,23,67,1276,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 06:14:00,24,66,1602,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 06:29:00,25,63,1889,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 06:44:00,26,62,1846,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 06:59:00,27,62,1775,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 07:14:00,28,63,1625,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 07:29:00,29,64,1500,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 07:44:00,30,64,1371,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 07:59:00,31,63,1396,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 08:14:00,32,63,1291,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 08:29:00,33,68,1116,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 08:44:00,34,68,1188,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 08:59:00,35,68,1227,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 09:14:00,36,68,1266,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 09:29:00,37,68,1200,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 09:44:00,38,68,1209,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 09:59:00,39,67,1184,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 10:14:00,40,68,1195,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 10:29:00,41,68,950,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 10:44:00,42,68,921,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 10:59:00,43,66,1319,FALSE,FALSE
"M25/4565A",0,2019-01-07,7,2019-01-07 11:14:00,44,67,1086,FALSE,FALSE
