"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M4/2156A",0,2019-01-07,7,2019-01-07 00:14:00,0,41,131,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 00:29:00,1,41,145,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 00:44:00,2,41,103,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 00:59:00,3,42,93,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 01:14:00,4,43,81,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 01:29:00,5,41,88,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 01:44:00,6,41,63,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 01:59:00,7,41,67,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 02:14:00,8,41,72,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 02:29:00,9,42,60,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 02:44:00,10,41,68,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 02:59:00,11,41,68,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 03:14:00,12,41,59,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 03:29:00,13,41,69,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 03:44:00,14,40,88,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 03:59:00,15,40,104,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 04:14:00,16,40,119,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 04:29:00,17,40,168,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 04:44:00,18,40,213,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 04:59:00,19,40,269,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 05:14:00,20,40,344,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 05:29:00,21,39,428,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 05:44:00,22,40,492,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 05:59:00,23,40,534,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 06:14:00,24,39,596,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 06:29:00,25,39,742,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 06:44:00,26,38,906,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 06:59:00,27,38,891,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 07:14:00,28,38,950,FALSE,FALSE
"M4/2156A",0,2019-01-07,7,2019-01-07 07:29:00,29,39,922,FALSE,FALSE
