"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M4/3434B",0,2019-01-07,7,2019-01-07 00:14:00,0,67,55,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 00:29:00,1,67,47,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 00:44:00,2,68,55,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 00:59:00,3,66,45,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 01:14:00,4,64,43,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 01:29:00,5,62,30,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 01:44:00,6,66,49,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 01:59:00,7,66,40,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 02:14:00,8,65,37,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 02:29:00,9,66,35,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 02:44:00,10,64,31,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 02:59:00,11,64,28,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 03:14:00,12,69,55,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 03:29:00,13,69,46,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 03:44:00,14,69,64,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 03:59:00,15,71,83,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 04:14:00,16,69,103,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 04:29:00,17,70,148,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 04:44:00,18,70,188,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 04:59:00,19,72,245,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 05:14:00,20,72,320,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 05:29:00,21,73,394,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 05:44:00,22,73,469,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 05:59:00,23,73,504,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 06:14:00,24,71,673,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 06:29:00,25,71,720,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 06:44:00,26,70,834,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 06:59:00,27,70,863,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 07:14:00,28,68,1007,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 07:29:00,29,68,934,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 07:44:00,30,68,1039,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 07:59:00,31,68,1039,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 08:14:00,32,70,1000,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 08:29:00,33,71,1008,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 08:44:00,34,72,913,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 08:59:00,35,71,723,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 09:14:00,36,71,662,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 09:29:00,37,72,647,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 09:44:00,38,71,677,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 09:59:00,39,71,584,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 10:14:00,40,70,559,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 10:29:00,41,70,593,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 10:44:00,42,71,581,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 10:59:00,43,70,578,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 11:14:00,44,71,567,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 11:29:00,45,70,562,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 11:44:00,46,69,580,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 11:59:00,47,71,492,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 12:14:00,48,69,544,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 12:29:00,49,69,528,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 12:44:00,50,69,513,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 12:59:00,51,70,543,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 13:14:00,52,69,516,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 13:29:00,53,70,527,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 13:44:00,54,70,529,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 13:59:00,55,71,552,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 14:14:00,56,70,530,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 14:29:00,57,70,597,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 14:44:00,58,70,543,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 14:59:00,59,71,542,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 15:14:00,60,69,587,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 15:29:00,61,71,613,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 15:44:00,62,71,585,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 15:59:00,63,70,610,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 16:14:00,64,70,630,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 16:29:00,65,70,666,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 16:44:00,66,70,685,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 16:59:00,67,69,648,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 17:14:00,68,71,564,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 17:29:00,69,71,603,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 17:44:00,70,70,631,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 17:59:00,71,70,583,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 18:14:00,72,72,555,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 18:29:00,73,71,558,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 18:44:00,74,70,493,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 18:59:00,75,71,415,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 19:14:00,76,70,350,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 19:29:00,77,71,308,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 19:44:00,78,71,309,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 19:59:00,79,70,261,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 20:14:00,80,70,240,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 20:29:00,81,70,239,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 20:44:00,82,71,218,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 20:59:00,83,70,208,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 21:14:00,84,70,171,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 21:29:00,85,70,155,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 21:44:00,86,69,130,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 21:59:00,87,70,117,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 22:14:00,88,70,116,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 22:29:00,89,70,87,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 22:44:00,90,70,93,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 22:59:00,91,67,66,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 23:14:00,92,69,84,FALSE,FALSE
"M4/3434B",0,2019-01-07,7,2019-01-07 23:29:00,93,67,67,FALSE,FALSE
