"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M5/7650B",0,2019-01-07,7,2019-01-07 00:14:00,0,64,59,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 00:29:00,1,66,40,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 00:44:00,2,60,44,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 00:59:00,3,66,38,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 01:14:00,4,63,35,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 01:29:00,5,63,39,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 01:44:00,6,59,33,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 01:59:00,7,60,31,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 02:14:00,8,60,28,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 02:29:00,9,59,42,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 02:44:00,10,59,27,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 02:59:00,11,60,35,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 03:14:00,12,62,34,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 03:29:00,13,61,33,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 03:44:00,14,60,45,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 03:59:00,15,61,50,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 04:14:00,16,65,46,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 04:29:00,17,62,84,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 04:44:00,18,67,76,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 04:59:00,19,64,110,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 05:14:00,20,65,155,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 05:29:00,21,67,183,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 05:44:00,22,67,228,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 05:59:00,23,67,294,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 06:14:00,24,68,322,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 06:29:00,25,68,388,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 06:44:00,26,69,451,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 06:59:00,27,68,479,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 07:14:00,28,68,499,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 07:29:00,29,67,553,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 07:44:00,30,67,589,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 07:59:00,31,66,571,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 08:14:00,32,68,587,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 08:29:00,33,68,554,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 08:44:00,34,68,549,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 08:59:00,35,67,503,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 09:14:00,36,67,522,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 09:29:00,37,67,568,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 09:44:00,38,68,518,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 09:59:00,39,67,482,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 10:14:00,40,67,470,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 10:29:00,41,67,544,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 10:44:00,42,67,505,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 10:59:00,43,66,512,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 11:14:00,44,66,511,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 11:29:00,45,65,514,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 11:44:00,46,67,489,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 11:59:00,47,66,536,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 12:14:00,48,65,523,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 12:29:00,49,66,557,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 12:44:00,50,66,507,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 12:59:00,51,67,552,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 13:14:00,52,66,541,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 13:29:00,53,65,557,FALSE,FALSE
"M5/7650B",0,2019-01-07,7,2019-01-07 13:44:00,54,66,599,FALSE,FALSE
