"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"M5/8291A",0,2019-01-07,7,2019-01-07 00:14:00,0,65,90,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 00:29:00,1,64,68,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 00:44:00,2,62,56,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 00:59:00,3,67,40,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 01:14:00,4,60,36,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 01:29:00,5,61,47,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 01:44:00,6,67,29,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 01:59:00,7,64,37,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 02:14:00,8,63,33,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 02:29:00,9,61,25,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 02:44:00,10,60,32,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 02:59:00,11,61,40,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 03:14:00,12,60,39,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 03:29:00,13,60,52,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 03:44:00,14,62,59,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 03:59:00,15,62,58,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 04:14:00,16,62,70,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 04:29:00,17,60,83,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 04:44:00,18,62,99,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 04:59:00,19,64,123,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 05:14:00,20,66,129,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 05:29:00,21,66,204,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 05:44:00,22,67,236,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 05:59:00,23,66,287,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 06:14:00,24,66,385,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 06:29:00,25,67,500,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 06:44:00,26,65,715,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 06:59:00,27,64,847,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 07:14:00,28,63,962,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 07:29:00,29,61,999,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 07:44:00,30,60,1084,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 07:59:00,31,58,1079,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 08:14:00,32,61,1033,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 08:29:00,33,64,965,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 08:44:00,34,65,859,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 08:59:00,35,67,779,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 09:14:00,36,66,712,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 09:29:00,37,65,684,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 09:44:00,38,65,675,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 09:59:00,39,68,581,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 10:14:00,40,66,572,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 10:29:00,41,66,577,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 10:44:00,42,66,561,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 10:59:00,43,66,556,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 11:14:00,44,65,563,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 11:29:00,45,65,572,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 11:44:00,46,65,608,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 11:59:00,47,65,590,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 12:14:00,48,66,516,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 12:29:00,49,67,499,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 12:44:00,50,66,552,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 12:59:00,51,66,552,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 13:14:00,52,67,507,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 13:29:00,53,66,552,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 13:44:00,54,66,492,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 13:59:00,55,66,553,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 14:14:00,56,65,510,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 14:29:00,57,66,549,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 14:44:00,58,65,543,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 14:59:00,59,66,563,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 15:14:00,60,67,533,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 15:29:00,61,67,553,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 15:44:00,62,66,567,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 15:59:00,63,66,594,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 16:14:00,64,66,665,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 16:29:00,65,62,720,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 16:44:00,66,61,818,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 16:59:00,67,58,740,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 17:14:00,68,61,722,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 17:29:00,69,63,737,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 17:44:00,70,63,674,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 17:59:00,71,64,591,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 18:14:00,72,67,586,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 18:29:00,73,67,557,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 18:44:00,74,67,471,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 18:59:00,75,67,407,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 19:14:00,76,69,344,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 19:29:00,77,67,321,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 19:44:00,78,66,260,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 19:59:00,79,66,253,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 20:14:00,80,67,217,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 20:29:00,81,67,201,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 20:44:00,82,66,188,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 20:59:00,83,68,191,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 21:14:00,84,65,138,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 21:29:00,85,66,180,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 21:44:00,86,68,147,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 21:59:00,87,66,150,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 22:14:00,88,66,133,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 22:29:00,89,67,142,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 22:44:00,90,65,119,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 22:59:00,91,64,114,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 23:14:00,92,63,92,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 23:29:00,93,65,93,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 23:44:00,94,65,84,FALSE,FALSE
"M5/8291A",0,2019-01-07,7,2019-01-07 23:59:00,95,62,89,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 00:14:00,0,65,78,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 00:29:00,1,64,45,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 00:44:00,2,64,56,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 00:59:00,3,60,45,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 01:14:00,4,63,36,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 01:29:00,5,60,42,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 01:44:00,6,63,38,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 01:59:00,7,61,31,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 02:14:00,8,59,36,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 02:29:00,9,60,43,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 02:44:00,10,58,34,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 02:59:00,11,58,31,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 03:14:00,12,60,44,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 03:29:00,13,57,43,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 03:44:00,14,60,54,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 03:59:00,15,62,42,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 04:14:00,16,64,59,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 04:29:00,17,61,84,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 04:44:00,18,65,98,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 04:59:00,19,64,117,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 05:14:00,20,64,126,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 05:29:00,21,67,185,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 05:44:00,22,66,240,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 05:59:00,23,65,301,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 06:14:00,24,67,391,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 06:29:00,25,67,548,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 06:44:00,26,66,670,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 06:59:00,27,63,873,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 07:14:00,28,61,960,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 07:29:00,29,61,1032,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 07:44:00,30,59,1055,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 07:59:00,31,58,1170,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 08:14:00,32,62,1001,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 08:29:00,33,65,864,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 08:44:00,34,67,769,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 08:59:00,35,66,695,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 09:14:00,36,67,717,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 09:29:00,37,67,725,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 09:44:00,38,66,697,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 09:59:00,39,66,656,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 10:14:00,40,67,637,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 10:29:00,41,66,711,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 10:44:00,42,66,646,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 10:59:00,43,64,709,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 11:14:00,44,65,629,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 11:29:00,45,65,560,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 11:44:00,46,64,617,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 11:59:00,47,66,560,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 12:14:00,48,66,538,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 12:29:00,49,66,563,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 12:44:00,50,66,513,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 12:59:00,51,66,554,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 13:14:00,52,66,510,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 13:29:00,53,66,556,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 13:44:00,54,65,554,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 13:59:00,55,66,575,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 14:14:00,56,66,553,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 14:29:00,57,66,568,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 14:44:00,58,67,554,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 14:59:00,59,66,606,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 15:14:00,60,67,578,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 15:29:00,61,67,613,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 15:44:00,62,67,663,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 15:59:00,63,67,629,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 16:14:00,64,66,746,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 16:29:00,65,67,741,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 16:44:00,66,65,875,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 16:59:00,67,66,742,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 17:14:00,68,66,710,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 17:29:00,69,66,681,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 17:44:00,70,65,701,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 17:59:00,71,68,659,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 18:14:00,72,67,642,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 18:29:00,73,66,539,FALSE,FALSE
"M5/8291A",0,2019-01-14,14,2019-01-14 18:44:00,74,68,488,FALSE,FALSE
