"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"I5/100703",0,2019-01-07,7,2019-01-07 00:14:00,0,63.33,12,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 00:29:00,1,68,5,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 00:44:00,2,62.38,13,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 00:59:00,3,62.1,10,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 01:14:00,4,58.17,6,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 01:29:00,5,63.6,5,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 01:44:00,6,62.44,9,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 01:59:00,7,59.5,4,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 02:14:00,8,65.11,9,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 02:29:00,9,67,5,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 02:44:00,10,57.78,9,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 02:59:00,11,72.89,9,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 03:14:00,12,65.62,13,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 03:29:00,13,64.14,14,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 03:44:00,14,66.52,25,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 03:59:00,15,65.58,19,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 04:14:00,16,65.5,30,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 04:29:00,17,63.61,46,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 04:44:00,18,64.03,73,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 04:59:00,19,65.3,100,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 05:14:00,20,65.66,114,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 05:29:00,21,64.41,156,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 05:44:00,22,62.58,274,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 05:59:00,23,61.66,292,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 06:14:00,24,60.21,371,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 06:29:00,25,57.62,486,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 06:44:00,26,41.96,501,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 06:59:00,27,35,486,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 07:14:00,28,34.85,425,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 07:29:00,29,30.85,455,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 07:44:00,30,36.33,420,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 07:59:00,31,37.41,421,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 08:14:00,32,35.62,437,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 08:29:00,33,32.23,429,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 08:44:00,34,41.14,421,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 08:59:00,35,37.14,393,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 09:14:00,36,35.18,346,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 09:29:00,37,48.41,327,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 09:44:00,38,58.59,366,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 09:59:00,39,58.75,344,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 10:14:00,40,60.21,317,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 10:29:00,41,59.65,294,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 10:44:00,42,60.56,263,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 10:59:00,43,60.93,261,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 11:14:00,44,60.66,273,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 11:29:00,45,60.93,251,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 11:44:00,46,60.8,297,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 11:59:00,47,59.65,185,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 12:14:00,48,60.2,185,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 12:29:00,49,60.75,247,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 12:44:00,50,60.31,258,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 12:59:00,51,59.13,242,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 13:14:00,52,60.19,220,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 13:29:00,53,60,263,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 13:44:00,54,60.27,268,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 13:59:00,55,61.18,254,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 14:14:00,56,60.88,228,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 14:29:00,57,60.48,224,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 14:44:00,58,60.4,258,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 14:59:00,59,60.06,278,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 15:14:00,60,60.56,242,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 15:29:00,61,60.82,225,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 15:44:00,62,60.2,257,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 15:59:00,63,59.74,269,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 16:14:00,64,58.78,246,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 16:29:00,65,58.14,296,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 16:44:00,66,58.37,257,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 16:59:00,67,56.99,292,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 17:14:00,68,56.33,311,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 17:29:00,69,31.76,257,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 17:44:00,70,23.16,280,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 17:59:00,71,58.46,284,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 18:14:00,72,58.35,276,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 18:29:00,73,58.53,308,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 18:44:00,74,59.36,216,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 18:59:00,75,61.03,210,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 19:14:00,76,61,152,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 19:29:00,77,62.81,110,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 19:44:00,78,62.91,116,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 19:59:00,79,62.43,99,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 20:14:00,80,62.55,63,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 20:29:00,81,62.95,91,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 20:44:00,82,63.21,92,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 20:59:00,83,63.83,85,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 21:14:00,84,63.65,81,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 21:29:00,85,63.85,67,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 21:44:00,86,65.07,62,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 21:59:00,87,63.96,58,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 22:14:00,88,63.13,39,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 22:29:00,89,64.64,36,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 22:44:00,90,65.84,25,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 22:59:00,91,62,27,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 23:14:00,92,63.24,17,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 23:29:00,93,62.85,20,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 23:44:00,94,65.62,16,FALSE,FALSE
"I5/100703",0,2019-01-07,7,2019-01-07 23:59:00,95,63.9,10,FALSE,FALSE
"I5/100703",0,2019-01-14,14,2019-01-14 00:14:00,0,59.3,10,FALSE,FALSE
"I5/100703",0,2019-01-14,14,2019-01-14 00:29:00,1,62.08,12,FALSE,FALSE
"I5/100703",0,2019-01-14,14,2019-01-14 00:44:00,2,70,3,FALSE,FALSE
"I5/100703",0,2019-01-14,14,2019-01-14 00:59:00,3,63.64,14,FALSE,FALSE
"I5/100703",0,2019-01-14,14,2019-01-14 01:14:00,4,60.18,11,FALSE,FALSE
