"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"OR217/100300",0,2019-01-07,7,2019-01-07 00:14:00,0,59.91,11,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 00:29:00,1,60.93,14,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 00:44:00,2,59.86,7,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 00:59:00,3,55,7,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 01:14:00,4,66,2,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 01:29:00,5,58,8,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 01:44:00,6,67.67,3,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 01:59:00,7,54.6,5,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 02:14:00,8,55,2,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 02:29:00,9,56.2,5,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 02:44:00,10,59.2,5,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 02:59:00,11,52,4,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 03:14:00,12,57.2,5,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 03:29:00,13,52.6,5,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 03:44:00,14,59.67,3,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 03:59:00,15,59.4,5,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 04:14:00,16,58.77,13,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 04:29:00,17,59.75,16,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 04:44:00,18,59.22,23,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 04:59:00,19,58.73,33,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 05:14:00,20,59.29,34,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 05:29:00,21,58.17,61,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 05:44:00,22,58.68,111,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 05:59:00,23,58.95,180,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 06:14:00,24,58.64,184,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 06:29:00,25,56.73,243,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 06:44:00,26,54.56,324,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 06:59:00,27,49.61,382,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 07:14:00,28,44.17,303,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 07:29:00,29,49.57,342,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 07:44:00,30,19.52,231,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 07:59:00,31,15.09,224,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 08:14:00,32,11.01,222,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 08:29:00,33,21.93,296,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 08:44:00,34,14.28,206,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 08:59:00,35,17.83,266,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 09:14:00,36,22.05,262,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 09:29:00,37,33.75,236,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 09:44:00,38,58.61,227,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 09:59:00,39,60.14,244,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 10:14:00,40,59.64,242,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 10:29:00,41,59.31,242,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 10:44:00,42,57.99,245,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 10:59:00,43,58.64,241,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 11:14:00,44,58.15,253,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 11:29:00,45,59.77,221,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 11:44:00,46,59.15,281,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 11:59:00,47,58.83,170,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 12:14:00,48,58.41,194,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 12:29:00,49,57.87,257,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 12:44:00,50,58.15,264,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 12:59:00,51,57.99,232,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 13:14:00,52,59.59,181,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 13:29:00,53,57.62,258,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 13:44:00,54,57.81,250,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 13:59:00,55,59.4,238,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 14:14:00,56,55.49,280,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 14:29:00,57,56.08,286,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 14:44:00,58,56.02,302,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 14:59:00,59,52.26,306,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 15:14:00,60,56.28,311,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 15:29:00,61,52.41,320,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 15:44:00,62,33.44,333,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 15:59:00,63,27.06,316,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 16:14:00,64,45.24,299,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 16:29:00,65,23.2,295,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 16:44:00,66,27.94,277,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 16:59:00,67,22.83,285,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 17:14:00,68,27.35,355,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 17:29:00,69,22.19,271,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 17:44:00,70,23.86,320,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 17:59:00,71,24.02,316,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 18:14:00,72,22.89,324,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 18:29:00,73,38.13,336,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 18:44:00,74,55.79,210,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 18:59:00,75,57.03,217,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 19:14:00,76,57.26,153,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 19:29:00,77,59.17,124,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 19:44:00,78,59.02,143,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 19:59:00,79,60.52,104,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 20:14:00,80,60.41,80,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 20:29:00,81,60.52,142,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 20:44:00,82,59.91,85,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 20:59:00,83,59.56,92,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 21:14:00,84,58.96,84,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 21:29:00,85,59.11,77,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 21:44:00,86,60.49,89,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 21:59:00,87,60.26,81,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 22:14:00,88,58.94,48,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 22:29:00,89,60.12,47,FALSE,FALSE
"OR217/100300",0,2019-01-07,7,2019-01-07 22:44:00,90,58.29,41,FALSE,FALSE
