"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 00:14:00,0,52,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 00:29:00,1,52,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 00:44:00,2,52,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 00:59:00,3,54,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 01:14:00,4,54.2,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 01:29:00,5,54.4,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 01:44:00,6,54.6,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 01:59:00,7,54.8,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 02:14:00,8,55,2,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 02:29:00,9,45,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 02:44:00,10,48.8333333333333,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 02:59:00,11,52.6666666666667,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 03:14:00,12,56.5,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 03:29:00,13,60.3333333333333,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 03:44:00,14,64.1666666666667,0,TRUE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 03:59:00,15,68,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 04:14:00,16,48,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 04:29:00,17,54,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 04:44:00,18,46.33,3,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 04:59:00,19,48,1,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 05:14:00,20,51.5,2,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 05:29:00,21,51,3,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 05:44:00,22,50,2,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 05:59:00,23,53.17,6,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 06:14:00,24,52.89,9,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 06:29:00,25,52.67,6,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 06:44:00,26,53.16,13,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 06:59:00,27,48.78,9,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 07:14:00,28,49.17,12,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 07:29:00,29,51.44,16,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 07:44:00,30,54.3,17,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 07:59:00,31,50.4,20,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 08:14:00,32,53.47,34,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 08:29:00,33,53.17,23,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 08:44:00,34,49.35,20,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 08:59:00,35,52.25,20,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 09:14:00,36,50.29,24,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 09:29:00,37,52.58,24,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 09:44:00,38,56.16,32,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 09:59:00,39,53.51,33,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 10:14:00,40,52.41,42,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 10:29:00,41,52.82,27,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 10:44:00,42,51.38,34,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 10:59:00,43,51.69,35,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 11:14:00,44,51.14,22,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 11:29:00,45,50.04,24,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 11:44:00,46,51.32,34,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 11:59:00,47,51.37,43,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 12:14:00,48,51.95,41,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 12:29:00,49,52.57,44,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 12:44:00,50,52.36,45,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 12:59:00,51,48.95,56,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 13:14:00,52,50.48,54,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 13:29:00,53,52.85,52,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 13:44:00,54,50.98,51,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 13:59:00,55,52.24,51,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 14:14:00,56,51.58,40,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 14:29:00,57,49.9,38,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 14:44:00,58,50.95,61,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 14:59:00,59,50.31,60,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 15:14:00,60,48.29,45,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 15:29:00,61,50.35,63,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 15:44:00,62,50.11,44,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 15:59:00,63,50.93,56,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 16:14:00,64,50.29,51,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 16:29:00,65,48.46,61,FALSE,FALSE
"R2 Delta Hwy/101745",0,2019-01-07,7,2019-01-07 16:44:00,66,49.07,61,FALSE,FALSE
