"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 00:14:00,0,63,6,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 00:29:00,1,51.2,5,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 00:44:00,2,60,2,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 00:59:00,3,56.5,2,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 01:14:00,4,58.86,14,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 01:29:00,5,54,2,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 01:44:00,6,76,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 01:59:00,7,57.5,6,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 02:14:00,8,57,2,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 02:29:00,9,61.2,5,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 02:44:00,10,56.6,5,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 02:59:00,11,57.5,4,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 03:14:00,12,57.33,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 03:29:00,13,58.33,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 03:44:00,14,62.67,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 03:59:00,15,51,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 04:14:00,16,56.67,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 04:29:00,17,57.11,9,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 04:44:00,18,49,10,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 04:59:00,19,49.19,16,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 05:14:00,20,36.86,7,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 05:29:00,21,34.88,25,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 05:44:00,22,23.07,68,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 05:59:00,23,29.94,46,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 06:14:00,24,33.2,5,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 06:29:00,25,43.33,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 06:44:00,26,30.67,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 06:59:00,27,40,3,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 07:14:00,28,34,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 07:29:00,29,38.3333333333333,0,TRUE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 07:44:00,30,42.6666666666667,0,TRUE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 07:59:00,31,47,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 08:14:00,32,40.5,2,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 08:29:00,33,45,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 08:44:00,34,39,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 08:59:00,35,45,0,TRUE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 09:14:00,36,51,1,FALSE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 09:29:00,37,47.9,0,TRUE,FALSE
"R2 OR18/102111",0,2019-01-07,7,2019-01-07 09:44:00,38,44.8,5,FALSE,FALSE
