"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 00:14:00,0,59.4,5,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 00:29:00,1,58,7,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 00:44:00,2,60.25,4,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 00:59:00,3,61.5,2,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 01:14:00,4,58.4,5,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 01:29:00,5,53.5,2,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 01:44:00,6,56.91,11,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 01:59:00,7,57.2,5,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 02:14:00,8,58.67,3,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 02:29:00,9,61.3,10,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 02:44:00,10,57.71,7,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 02:59:00,11,58.4,5,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 03:14:00,12,58.62,8,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 03:29:00,13,58.82,11,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 03:44:00,14,61.08,13,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 03:59:00,15,60.08,13,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 04:14:00,16,57.08,13,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 04:29:00,17,55.86,21,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 04:44:00,18,44.96,26,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 04:59:00,19,43.56,27,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 05:14:00,20,40.97,33,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 05:29:00,21,41.78,59,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 05:44:00,22,29.65,71,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 05:59:00,23,40.76,41,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 06:14:00,24,50.5,2,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 06:29:00,25,50,4,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 06:44:00,26,42.5,2,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 06:59:00,27,43.625,0,TRUE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 07:14:00,28,44.75,4,FALSE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 07:29:00,29,41.875,0,TRUE,FALSE
"R2 OR18/102113",0,2019-01-07,7,2019-01-07 07:44:00,30,39,1,FALSE,FALSE
