"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"SR 500/1000022",0,2019-01-07,7,2019-01-07 00:14:00,0,55,0,TRUE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 00:29:00,1,55,0,TRUE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 00:44:00,2,55,1,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 00:59:00,3,55,1,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 01:14:00,4,55,1,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 01:29:00,5,55,2,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 01:44:00,6,55,3,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 01:59:00,7,55,0,TRUE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 02:14:00,8,55,2,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 02:29:00,9,55,2,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 02:44:00,10,55,1,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 02:59:00,11,55,2,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 03:14:00,12,55,1,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 03:29:00,13,55,2,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 03:44:00,14,55,0,TRUE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 03:59:00,15,55,3,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 04:14:00,16,55,1,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 04:29:00,17,55,5,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 04:44:00,18,55,9,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 04:59:00,19,55,8,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 05:14:00,20,55,9,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 05:29:00,21,55,15,FALSE,FALSE
"SR 500/1000022",0,2019-01-07,7,2019-01-07 05:44:00,22,55,20,FALSE,FALSE
