"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"US26/100627",0,2019-01-07,7,2019-01-07 00:14:00,0,60.38,16,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 00:29:00,1,60.31,23,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 00:44:00,2,59.75,20,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 00:59:00,3,59.75,12,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 01:14:00,4,59.33,15,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 01:29:00,5,60.54,11,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 01:44:00,6,60.58,12,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 01:59:00,7,57.83,12,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 02:14:00,8,56.82,11,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 02:29:00,9,64.59,17,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 02:44:00,10,60.75,20,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 02:59:00,11,60.8,20,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 03:14:00,12,59.46,22,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 03:29:00,13,61.44,16,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 03:44:00,14,60.53,32,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 03:59:00,15,58.21,34,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 04:14:00,16,58.39,38,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 04:29:00,17,58.65,71,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 04:44:00,18,59.47,98,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 04:59:00,19,59.42,151,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 05:14:00,20,58.48,147,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 05:29:00,21,55.91,223,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 05:44:00,22,53.66,275,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 05:59:00,23,47.4,385,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 06:14:00,24,47.87,392,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 06:29:00,25,34.19,419,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 06:44:00,26,26.32,376,FALSE,FALSE
"US26/100627",0,2019-01-07,7,2019-01-07 06:59:00,27,23.21,369,FALSE,FALSE
