"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"US26/100650",0,2019-01-07,7,2019-01-07 00:14:00,0,60.09,32,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 00:29:00,1,57.67,27,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 00:44:00,2,57.46,26,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 00:59:00,3,56.26,19,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 01:14:00,4,58.17,18,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 01:29:00,5,60.53,15,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 01:44:00,6,60.75,12,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 01:59:00,7,61.18,11,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 02:14:00,8,59.47,15,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 02:29:00,9,65.8,10,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 02:44:00,10,62.5,6,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 02:59:00,11,58.5,2,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 03:14:00,12,63,2,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 03:29:00,13,66.5,6,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 03:44:00,14,62.38,8,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 03:59:00,15,61.56,9,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 04:14:00,16,66.4,10,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 04:29:00,17,63.9,30,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 04:44:00,18,64.65,40,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 04:59:00,19,64.78,50,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 05:14:00,20,65.06,110,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 05:29:00,21,64.05,220,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 05:44:00,22,64.34,262,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 05:59:00,23,63.11,220,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 06:14:00,24,63.78,270,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 06:29:00,25,61.69,343,FALSE,FALSE
"US26/100650",0,2019-01-07,7,2019-01-07 06:44:00,26,59.83,404,FALSE,FALSE
