"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"I215/134",0,2019-01-07,7,2019-01-07 00:14:00,0,69.9333333333333,121,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 00:29:00,1,70.1333333333333,140,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 00:44:00,2,73.3,101,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 00:59:00,3,70.0666666666667,87,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 01:14:00,4,71.1333333333333,66,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 01:29:00,5,69.1333333333333,68,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 01:44:00,6,70.4666666666667,43,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 01:59:00,7,67.0666666666667,50,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 02:14:00,8,61.3,41,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 02:29:00,9,65.2,45,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 02:44:00,10,68.0333333333333,35,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 02:59:00,11,63.5333333333333,46,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 03:14:00,12,66.5666666666667,38,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 03:29:00,13,64.7,43,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 03:44:00,14,60.7666666666667,36,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 03:59:00,15,64.8,52,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 04:14:00,16,64.1666666666667,48,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 04:29:00,17,62.7666666666667,60,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 04:44:00,18,66.8666666666667,69,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 04:59:00,19,65.3,118,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 05:14:00,20,67.0333333333333,120,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 05:29:00,21,69.1666666666667,182,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 05:44:00,22,69.2333333333333,175,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 05:59:00,23,69.4333333333333,191,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 06:14:00,24,68.8333333333333,235,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 06:29:00,25,69.1333333333333,305,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 06:44:00,26,71.3,405,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 06:59:00,27,69.9,465,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 07:14:00,28,69.7666666666667,475,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 07:29:00,29,69.7666666666667,589,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 07:44:00,30,70.0666666666667,630,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 07:59:00,31,72,667,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 08:14:00,32,71.5,644,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 08:29:00,33,72.6333333333333,680,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 08:44:00,34,73.3666666666667,613,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 08:59:00,35,73.8333333333333,575,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 09:14:00,36,72.1666666666667,473,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 09:29:00,37,71.9666666666667,493,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 09:44:00,38,73.0333333333333,480,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 09:59:00,39,72.9333333333333,436,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 10:14:00,40,71.6666666666667,408,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 10:29:00,41,71.8333333333333,400,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 10:44:00,42,71.7666666666667,467,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 10:59:00,43,71.5333333333333,447,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 11:14:00,44,72.0666666666667,464,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 11:29:00,45,72,437,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 11:44:00,46,68.7,474,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 11:59:00,47,70.5333333333333,451,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 12:14:00,48,70.1666666666667,524,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 12:29:00,49,70.1,480,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 12:44:00,50,71.0333333333333,539,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 12:59:00,51,71.2666666666667,484,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 13:14:00,52,72.0666666666667,452,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 13:29:00,53,71.4,506,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 13:44:00,54,71.4,551,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 13:59:00,55,71.2666666666667,528,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 14:14:00,56,71.3666666666667,602,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 14:29:00,57,71.3333333333333,599,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 14:44:00,58,70.7666666666667,792,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 14:59:00,59,70.2333333333333,732,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 15:14:00,60,70.5,874,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 15:29:00,61,70.3,972,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 15:44:00,62,69.5666666666667,1254,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 15:59:00,63,69.7,1324,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 16:14:00,64,69.4,1438,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 16:29:00,65,65.7,1497,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 16:44:00,66,63.2333333333333,1640,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 16:59:00,67,56.8,1493,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 17:14:00,68,58.8666666666667,1575,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 17:29:00,69,53.2,1652,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 17:44:00,70,67.2333333333333,1373,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 17:59:00,71,68.0666666666667,1146,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 18:14:00,72,69.7,1035,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 18:29:00,73,68.5666666666667,899,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 18:44:00,74,70.2666666666667,623,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 18:59:00,75,71.0666666666667,560,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 19:14:00,76,71.2666666666667,465,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 19:29:00,77,71.1333333333333,453,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 19:44:00,78,72.1666666666667,351,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 19:59:00,79,70.6333333333333,369,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 20:14:00,80,72.6333333333333,375,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 20:29:00,81,71.8,380,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 20:44:00,82,71.9666666666667,347,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 20:59:00,83,72.6333333333333,275,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 21:14:00,84,72.2333333333333,293,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 21:29:00,85,72.4333333333333,298,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 21:44:00,86,72.2,240,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 21:59:00,87,72.5666666666667,307,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 22:14:00,88,72.5333333333333,294,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 22:29:00,89,73.1,252,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 22:44:00,90,72.8333333333333,210,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 22:59:00,91,73.1333333333333,214,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 23:14:00,92,72.9,244,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 23:29:00,93,71.8333333333333,183,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 23:44:00,94,71.2,141,FALSE,FALSE
"I215/134",0,2019-01-07,7,2019-01-07 23:59:00,95,71.2333333333333,114,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 00:14:00,0,73.5333333333333,113,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 00:29:00,1,72.2333333333333,90,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 00:44:00,2,73.1333333333333,77,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 00:59:00,3,75.1333333333333,87,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 01:14:00,4,73.6666666666667,78,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 01:29:00,5,73.8333333333333,55,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 01:44:00,6,72.2666666666667,53,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 01:59:00,7,74.4,36,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 02:14:00,8,73.4,32,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 02:29:00,9,73.1333333333333,24,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 02:44:00,10,74.4666666666667,30,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 02:59:00,11,71.2666666666667,25,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 03:14:00,12,70.8333333333333,34,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 03:29:00,13,73.5666666666667,35,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 03:44:00,14,70,38,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 03:59:00,15,74.6666666666667,40,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 04:14:00,16,73.1333333333333,45,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 04:29:00,17,72.4333333333333,55,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 04:44:00,18,74.5666666666667,71,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 04:59:00,19,74.7333333333333,113,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 05:14:00,20,74.8,122,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 05:29:00,21,74.5666666666667,150,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 05:44:00,22,74.9,195,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 05:59:00,23,76.4,204,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 06:14:00,24,75.2,238,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 06:29:00,25,76.0333333333333,310,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 06:44:00,26,75.5333333333333,387,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 06:59:00,27,76.4333333333333,511,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 07:14:00,28,75.3,458,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 07:29:00,29,76.1666666666667,563,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 07:44:00,30,75.1666666666667,628,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 07:59:00,31,76.5,685,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 08:14:00,32,76.2,686,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 08:29:00,33,77.1333333333333,747,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 08:44:00,34,76.8333333333333,638,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 08:59:00,35,76.8666666666667,582,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 09:14:00,36,76.2,527,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 09:29:00,37,76.4666666666667,463,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 09:44:00,38,75.5333333333333,525,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 09:59:00,39,74.5,440,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 10:14:00,40,72.6333333333333,433,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 10:29:00,41,73.7666666666667,433,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 10:44:00,42,75.2,466,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 10:59:00,43,74.5333333333333,500,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 11:14:00,44,73.8333333333333,446,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 11:29:00,45,74.4333333333333,477,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 11:44:00,46,74.5666666666667,488,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 11:59:00,47,75.6333333333333,434,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 12:14:00,48,74.7666666666667,536,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 12:29:00,49,73.4666666666667,487,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 12:44:00,50,73.3666666666667,519,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 12:59:00,51,74.3666666666667,523,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 13:14:00,52,74.0333333333333,514,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 13:29:00,53,74.7,532,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 13:44:00,54,74.6,558,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 13:59:00,55,75,608,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 14:14:00,56,74.8333333333333,592,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 14:29:00,57,74.6666666666667,618,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 14:44:00,58,74.2333333333333,805,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 14:59:00,59,74.3333333333333,841,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 15:14:00,60,74.2333333333333,985,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 15:29:00,61,74,1026,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 15:44:00,62,74.1666666666667,1304,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 15:59:00,63,73,1326,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 16:14:00,64,72.9,1459,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 16:29:00,65,72.7666666666667,1517,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 16:44:00,66,73.1,1587,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 16:59:00,67,72.5,1573,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 17:14:00,68,71.5333333333333,1693,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 17:29:00,69,70.1,1702,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 17:44:00,70,72.5333333333333,1380,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 17:59:00,71,73.5666666666667,1201,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 18:14:00,72,73.3666666666667,998,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 18:29:00,73,73.6333333333333,974,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 18:44:00,74,74,680,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 18:59:00,75,74.9666666666667,571,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 19:14:00,76,74.2,498,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 19:29:00,77,75.2,436,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 19:44:00,78,74.9333333333333,424,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 19:59:00,79,74.5333333333333,362,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 20:14:00,80,74.0666666666667,391,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 20:29:00,81,73.6666666666667,319,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 20:44:00,82,74.3333333333333,299,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 20:59:00,83,74.2333333333333,309,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 21:14:00,84,75.1,359,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 21:29:00,85,74.7,371,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 21:44:00,86,73.7333333333333,352,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 21:59:00,87,74,344,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 22:14:00,88,74.8,372,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 22:29:00,89,74.6666666666667,316,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 22:44:00,90,74.8333333333333,236,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 22:59:00,91,74.2,200,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 23:14:00,92,73.6333333333333,160,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 23:29:00,93,74.0666666666667,182,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 23:44:00,94,74.1,131,FALSE,FALSE
"I215/134",0,2019-01-14,14,2019-01-14 23:59:00,95,73.6666666666667,132,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 00:14:00,0,72.5333333333333,110,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 00:29:00,1,71.0666666666667,130,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 00:44:00,2,72.7,122,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 00:59:00,3,72.0333333333333,107,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 01:14:00,4,74,92,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 01:29:00,5,72.5,77,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 01:44:00,6,70.7,82,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 01:59:00,7,70.8,71,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 02:14:00,8,71.7666666666667,60,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 02:29:00,9,72.5,51,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 02:44:00,10,71.6333333333333,52,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 02:59:00,11,74.0666666666667,42,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 03:14:00,12,75.0666666666667,62,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 03:29:00,13,73.7,35,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 03:44:00,14,71.6666666666667,45,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 03:59:00,15,71.3666666666667,52,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 04:14:00,16,71.0666666666667,61,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 04:29:00,17,72.8666666666667,58,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 04:44:00,18,70.6666666666667,67,FALSE,FALSE
"I215/134",0,2019-01-21,21,2019-01-21 04:59:00,19,69.5333333333333,96,FALSE,FALSE
