"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"I215/31",0,2019-01-07,7,2019-01-07 00:14:00,0,65.2666666666667,85,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 00:29:00,1,62.8,79,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 00:44:00,2,59.7333333333333,79,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 00:59:00,3,59.4,81,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 01:14:00,4,65.0333333333333,68,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 01:29:00,5,61.7333333333333,74,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 01:44:00,6,62.7,79,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 01:59:00,7,62.2666666666667,69,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 02:14:00,8,62.9666666666667,50,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 02:29:00,9,58.6333333333333,74,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 02:44:00,10,56.6333333333333,49,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 02:59:00,11,51.5,61,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 03:14:00,12,54.9333333333333,58,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 03:29:00,13,57.0333333333333,67,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 03:44:00,14,59,67,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 03:59:00,15,60.1,89,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 04:14:00,16,58.4,82,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 04:29:00,17,58.4666666666667,98,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 04:44:00,18,59.8333333333333,118,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 04:59:00,19,62.3333333333333,137,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 05:14:00,20,62.4666666666667,178,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 05:29:00,21,62.6666666666667,249,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 05:44:00,22,63.1666666666667,348,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 05:59:00,23,64.0666666666667,389,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 06:14:00,24,64.1,398,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 06:29:00,25,63.0666666666667,588,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 06:44:00,26,62.2666666666667,856,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 06:59:00,27,61.0333333333333,977,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 07:14:00,28,63.0333333333333,940,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 07:29:00,29,59.8333333333333,1201,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 07:44:00,30,56.2,1440,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 07:59:00,31,54.0666666666667,1567,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 08:14:00,32,63.4333333333333,1366,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 08:29:00,33,54.9,1475,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 08:44:00,34,62.8,1352,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 08:59:00,35,64.7,1330,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 09:14:00,36,67.6666666666667,945,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 09:29:00,37,68.5,856,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 09:44:00,38,66.9,781,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 09:59:00,39,68.5,803,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 10:14:00,40,67.8333333333333,702,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 10:29:00,41,67.8666666666667,756,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 10:44:00,42,68.0666666666667,695,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 10:59:00,43,68.3666666666667,759,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 11:14:00,44,67.4333333333333,665,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 11:29:00,45,67.5666666666667,754,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 11:44:00,46,67.9,772,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 11:59:00,47,67.9333333333333,793,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 12:14:00,48,68.5333333333333,752,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 12:29:00,49,67.2666666666667,853,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 12:44:00,50,64.6666666666667,854,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 12:59:00,51,63.6666666666667,854,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 13:14:00,52,65.3333333333333,831,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 13:29:00,53,64.4666666666667,828,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 13:44:00,54,64.1333333333333,827,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 13:59:00,55,64.2333333333333,807,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 14:14:00,56,64.3,843,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 14:29:00,57,63.9666666666667,902,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 14:44:00,58,63.2,957,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 14:59:00,59,64.4333333333333,929,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 15:14:00,60,64.2,1026,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 15:29:00,61,64.0666666666667,1053,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 15:44:00,62,64.0666666666667,1193,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 15:59:00,63,65.2666666666667,1121,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 16:14:00,64,65.7333333333333,1202,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 16:29:00,65,65.8666666666667,1281,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 16:44:00,66,64.8,1190,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 16:59:00,67,63.2,1295,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 17:14:00,68,58.7333333333333,1464,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 17:29:00,69,51.3,1431,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 17:44:00,70,63.2666666666667,1174,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 17:59:00,71,62.5333333333333,1116,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 18:14:00,72,64.4333333333333,993,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 18:29:00,73,64.9,975,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 18:44:00,74,65.7666666666667,848,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 18:59:00,75,65.1666666666667,774,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 19:14:00,76,66.4,630,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 19:29:00,77,66.8,589,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 19:44:00,78,66.5333333333333,565,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 19:59:00,79,67.0666666666667,518,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 20:14:00,80,67.1333333333333,535,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 20:29:00,81,67,456,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 20:44:00,82,67.0333333333333,362,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 20:59:00,83,66.8333333333333,411,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 21:14:00,84,67.2333333333333,328,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 21:29:00,85,68.1333333333333,403,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 21:44:00,86,67.9333333333333,327,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 21:59:00,87,67.5333333333333,287,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 22:14:00,88,67.9333333333333,297,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 22:29:00,89,68.2,264,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 22:44:00,90,66.8,200,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 22:59:00,91,68.4666666666667,171,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 23:14:00,92,67.4333333333333,172,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 23:29:00,93,66.9333333333333,129,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 23:44:00,94,67.4333333333333,122,FALSE,FALSE
"I215/31",0,2019-01-07,7,2019-01-07 23:59:00,95,67.2,122,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 00:14:00,0,69.7666666666667,81,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 00:29:00,1,69.5,76,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 00:44:00,2,70.8,81,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 00:59:00,3,69.1666666666667,69,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 01:14:00,4,68.1333333333333,64,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 01:29:00,5,68.4,66,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 01:44:00,6,67.5,73,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 01:59:00,7,68.8,55,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 02:14:00,8,69.5333333333333,65,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 02:29:00,9,68.6333333333333,59,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 02:44:00,10,68.8,52,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 02:59:00,11,69.6333333333333,53,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 03:14:00,12,70.3,58,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 03:29:00,13,69.3333333333333,69,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 03:44:00,14,68.3666666666667,74,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 03:59:00,15,69.7333333333333,66,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 04:14:00,16,69.2,72,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 04:29:00,17,71.5333333333333,99,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 04:44:00,18,71,114,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 04:59:00,19,69.7,130,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 05:14:00,20,70.1666666666667,157,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 05:29:00,21,70.7666666666667,229,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 05:44:00,22,69.9666666666667,378,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 05:59:00,23,71.5,398,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 06:14:00,24,70.6666666666667,421,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 06:29:00,25,70.3,593,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 06:44:00,26,69.2666666666667,876,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 06:59:00,27,68.7666666666667,994,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 07:14:00,28,68.8333333333333,1028,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 07:29:00,29,66.5666666666667,1241,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 07:44:00,30,63.3333333333333,1527,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 07:59:00,31,63.1666666666667,1665,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 08:14:00,32,66,1454,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 08:29:00,33,67.7333333333333,1455,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 08:44:00,34,68.6333333333333,1461,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 08:59:00,35,69.2666666666667,1356,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 09:14:00,36,70.3666666666667,963,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 09:29:00,37,70.2,954,FALSE,FALSE
"I215/31",0,2019-01-14,14,2019-01-14 09:44:00,38,71.0666666666667,873,FALSE,FALSE
