"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"I84/451",0,2019-01-07,7,2019-01-07 00:14:00,0,58.4666666666667,4,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 00:29:00,1,53.5,8,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 00:44:00,2,62.1666666666667,7,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 00:59:00,3,58.1333333333333,3,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 01:14:00,4,57.2,2,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 01:29:00,5,55.5,2,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 01:44:00,6,54.0333333333333,2,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 01:59:00,7,50.7666666666667,4,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 02:14:00,8,55.5333333333333,2,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 02:29:00,9,55.1666666666667,1,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 02:44:00,10,52.3,2,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 02:59:00,11,49.1333333333333,5,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 03:14:00,12,48.1,4,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 03:29:00,13,49.6,4,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 03:44:00,14,46.6666666666667,4,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 03:59:00,15,37.5666666666667,4,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 04:14:00,16,44.6,5,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 04:29:00,17,41.5666666666667,7,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 04:44:00,18,48.5333333333333,5,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 04:59:00,19,42.6666666666667,17,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 05:14:00,20,46.2,7,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 05:29:00,21,37.4666666666667,6,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 05:44:00,22,39.7666666666667,21,FALSE,FALSE
"I84/451",0,2019-01-07,7,2019-01-07 05:59:00,23,47,28,FALSE,FALSE
