"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 00:14:00,0,66.5,0,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 00:29:00,1,66.2666666666667,8,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 00:44:00,2,64,6,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 00:59:00,3,61.6,7,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 01:14:00,4,63.8,2,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 01:29:00,5,66.4666666666667,1,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 01:44:00,6,65.9333333333333,4,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 01:59:00,7,59.9333333333333,3,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 02:14:00,8,69.7333333333333,3,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 02:29:00,9,67.5333333333333,3,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 02:44:00,10,65.3,2,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 02:59:00,11,69.1666666666667,7,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 03:14:00,12,70.5333333333333,6,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 03:29:00,13,61.8666666666667,12,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 03:44:00,14,48.4333333333333,16,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 03:59:00,15,55.1,40,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 04:14:00,16,62.4333333333333,29,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 04:29:00,17,66.3333333333333,56,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 04:44:00,18,66.1666666666667,55,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 04:59:00,19,71.4,83,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 05:14:00,20,66.2666666666667,119,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 05:29:00,21,68.7333333333333,209,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 05:44:00,22,70.0333333333333,235,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 05:59:00,23,67.6333333333333,295,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 06:14:00,24,70.8333333333333,343,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 06:29:00,25,71.6333333333333,462,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 06:44:00,26,70.1666666666667,532,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 06:59:00,27,69.4333333333333,605,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 07:14:00,28,69.0333333333333,624,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 07:29:00,29,71.4666666666667,682,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 07:44:00,30,70.0666666666667,744,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 07:59:00,31,71.7,738,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 08:14:00,32,72.4,642,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 08:29:00,33,73.6333333333333,476,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 08:44:00,34,74.4333333333333,407,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 08:59:00,35,73.3666666666667,433,FALSE,FALSE
"LegacyParkway/890",0,2019-01-07,7,2019-01-07 09:14:00,36,63.9666666666667,350,FALSE,FALSE
