Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
6310/1,01/01/2019 00:00:00,00:14:00,0,10,0,0,0,,,,,,,,,,,,,,,69,10
6310/1,01/01/2019 00:00:00,00:29:00,1,20,0,1,0,,,,,,,,,,,,,,,66,21
6310/1,01/01/2019 00:00:00,00:44:00,2,29,2,1,1,,,,,,,,,,,,,,,69,33
6310/1,01/01/2019 00:00:00,00:59:00,3,31,3,0,0,,,,,,,,,,,,,,,67,34
6310/1,01/01/2019 00:00:00,01:14:00,4,28,2,0,0,,,,,,,,,,,,,,,66,30
6310/1,01/01/2019 00:00:00,01:29:00,5,23,0,0,0,,,,,,,,,,,,,,,67,23
6310/1,01/01/2019 00:00:00,01:44:00,6,44,0,0,0,,,,,,,,,,,,,,,65,44
6310/1,01/01/2019 00:00:00,01:59:00,7,24,2,1,0,,,,,,,,,,,,,,,66,27
6310/1,01/01/2019 00:00:00,02:14:00,8,26,0,1,0,,,,,,,,,,,,,,,65,27
6310/1,01/01/2019 00:00:00,02:29:00,9,28,3,1,1,,,,,,,,,,,,,,,63,33
6310/1,01/01/2019 00:00:00,02:44:00,10,22,0,0,0,,,,,,,,,,,,,,,63,22
6310/1,01/01/2019 00:00:00,02:59:00,11,10,1,1,0,,,,,,,,,,,,,,,69,12
6310/1,01/01/2019 00:00:00,03:14:00,12,17,0,1,0,,,,,,,,,,,,,,,67,18
6310/1,01/01/2019 00:00:00,03:29:00,13,13,1,0,0,,,,,,,,,,,,,,,66,14
6310/1,01/01/2019 00:00:00,03:44:00,14,11,0,0,0,,,,,,,,,,,,,,,68,11
6310/1,01/01/2019 00:00:00,03:59:00,15,16,0,1,0,,,,,,,,,,,,,,,65,17
6310/1,01/01/2019 00:00:00,04:14:00,16,5,3,1,0,,,,,,,,,,,,,,,66,9
6310/1,01/01/2019 00:00:00,04:29:00,17,13,3,0,2,,,,,,,,,,,,,,,65,18
6310/1,01/01/2019 00:00:00,04:44:00,18,15,1,0,0,,,,,,,,,,,,,,,66,16
6310/1,01/01/2019 00:00:00,04:59:00,19,22,0,0,0,,,,,,,,,,,,,,,69,22
6310/1,01/01/2019 00:00:00,05:14:00,20,12,2,1,0,,,,,,,,,,,,,,,66,15
6310/1,01/01/2019 00:00:00,05:29:00,21,22,0,1,1,,,,,,,,,,,,,,,65,24
6310/1,01/01/2019 00:00:00,05:44:00,22,29,0,4,1,,,,,,,,,,,,,,,68,34
6310/1,01/01/2019 00:00:00,05:59:00,23,15,0,0,1,,,,,,,,,,,,,,,72,16
6310/1,01/01/2019 00:00:00,06:14:00,24,19,0,0,0,,,,,,,,,,,,,,,68,19
6310/1,01/01/2019 00:00:00,06:29:00,25,34,0,0,4,,,,,,,,,,,,,,,66,38
6310/1,01/01/2019 00:00:00,06:44:00,26,28,1,1,1,,,,,,,,,,,,,,,67,31
6310/1,01/01/2019 00:00:00,06:59:00,27,35,2,0,1,,,,,,,,,,,,,,,69,38
6310/1,01/01/2019 00:00:00,07:14:00,28,44,0,0,1,,,,,,,,,,,,,,,70,45
6310/1,01/01/2019 00:00:00,07:29:00,29,47,0,0,2,,,,,,,,,,,,,,,66,49
6310/1,01/01/2019 00:00:00,07:44:00,30,30,2,0,1,,,,,,,,,,,,,,,69,33
6310/1,01/01/2019 00:00:00,07:59:00,31,51,2,0,2,,,,,,,,,,,,,,,69,55
6310/1,01/01/2019 00:00:00,08:14:00,32,55,3,1,0,,,,,,,,,,,,,,,72,59
6310/1,01/01/2019 00:00:00,08:29:00,33,48,1,0,2,,,,,,,,,,,,,,,69,51
6310/1,01/01/2019 00:00:00,08:44:00,34,67,3,1,4,,,,,,,,,,,,,,,67,75
6310/1,01/01/2019 00:00:00,08:59:00,35,58,1,2,5,,,,,,,,,,,,,,,69,66
6310/1,01/01/2019 00:00:00,09:14:00,36,73,4,0,3,,,,,,,,,,,,,,,71,80
6310/1,01/01/2019 00:00:00,09:29:00,37,96,1,1,2,,,,,,,,,,,,,,,70,100
6310/1,01/01/2019 00:00:00,09:44:00,38,110,2,0,4,,,,,,,,,,,,,,,68,116
6310/1,01/01/2019 00:00:00,09:59:00,39,137,4,0,3,,,,,,,,,,,,,,,68,144
6310/1,01/01/2019 00:00:00,10:14:00,40,144,9,2,0,,,,,,,,,,,,,,,70,155
6310/1,01/01/2019 00:00:00,10:29:00,41,169,3,0,4,,,,,,,,,,,,,,,70,176
6310/1,01/01/2019 00:00:00,10:44:00,42,250,4,2,0,,,,,,,,,,,,,,,70,256
6310/1,01/01/2019 00:00:00,10:59:00,43,290,4,1,3,,,,,,,,,,,,,,,69,298
6310/1,01/01/2019 00:00:00,11:14:00,44,277,6,5,8,,,,,,,,,,,,,,,70,296
6310/1,01/01/2019 00:00:00,11:29:00,45,312,4,0,2,,,,,,,,,,,,,,,69,318
6310/1,01/01/2019 00:00:00,11:44:00,46,369,5,0,3,,,,,,,,,,,,,,,69,377
6310/1,01/01/2019 00:00:00,11:59:00,47,332,2,3,7,,,,,,,,,,,,,,,68,344
6310/1,01/01/2019 00:00:00,12:14:00,48,331,3,1,2,,,,,,,,,,,,,,,71,337
6310/1,01/01/2019 00:00:00,12:29:00,49,368,4,2,6,,,,,,,,,,,,,,,69,380
6310/1,01/01/2019 00:00:00,12:44:00,50,351,9,4,4,,,,,,,,,,,,,,,69,368
6310/1,01/01/2019 00:00:00,12:59:00,51,370,4,4,5,,,,,,,,,,,,,,,68,383
6310/1,01/01/2019 00:00:00,13:14:00,52,345,6,3,2,,,,,,,,,,,,,,,69,356
6310/1,01/01/2019 00:00:00,13:29:00,53,361,7,5,3,,,,,,,,,,,,,,,64,376
6310/1,01/01/2019 00:00:00,13:44:00,54,370,8,5,4,,,,,,,,,,,,,,,66,387
6310/1,01/01/2019 00:00:00,13:59:00,55,342,6,4,3,,,,,,,,,,,,,,,68,355
6310/1,01/01/2019 00:00:00,14:14:00,56,339,4,2,1,,,,,,,,,,,,,,,68,346
6310/1,01/01/2019 00:00:00,14:29:00,57,362,5,5,2,,,,,,,,,,,,,,,67,374
6310/1,01/01/2019 00:00:00,14:44:00,58,359,6,2,3,,,,,,,,,,,,,,,69,370
6310/1,01/01/2019 00:00:00,14:59:00,59,335,3,2,4,,,,,,,,,,,,,,,69,344
6310/1,01/01/2019 00:00:00,15:14:00,60,397,6,1,2,,,,,,,,,,,,,,,68,406
