Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
A14/1144B,01/01/2019 00:00:00,00:14:00,0,17,2,0,0,,,,,,,,,,,,,,,68,19
A14/1144B,01/01/2019 00:00:00,00:29:00,1,29,4,1,0,,,,,,,,,,,,,,,68,34
A14/1144B,01/01/2019 00:00:00,00:44:00,2,40,2,2,2,,,,,,,,,,,,,,,67,46
A14/1144B,01/01/2019 00:00:00,00:59:00,3,46,3,1,2,,,,,,,,,,,,,,,69,52
A14/1144B,01/01/2019 00:00:00,01:14:00,4,40,1,1,2,,,,,,,,,,,,,,,67,44
A14/1144B,01/01/2019 00:00:00,01:29:00,5,50,3,0,1,,,,,,,,,,,,,,,70,54
A14/1144B,01/01/2019 00:00:00,01:44:00,6,45,0,2,0,,,,,,,,,,,,,,,67,47
A14/1144B,01/01/2019 00:00:00,01:59:00,7,34,4,0,1,,,,,,,,,,,,,,,68,39
A14/1144B,01/01/2019 00:00:00,02:14:00,8,41,1,1,1,,,,,,,,,,,,,,,64,44
A14/1144B,01/01/2019 00:00:00,02:29:00,9,35,3,1,1,,,,,,,,,,,,,,,66,40
A14/1144B,01/01/2019 00:00:00,02:44:00,10,29,2,0,0,,,,,,,,,,,,,,,67,31
A14/1144B,01/01/2019 00:00:00,02:59:00,11,20,3,3,2,,,,,,,,,,,,,,,69,28
A14/1144B,01/01/2019 00:00:00,03:14:00,12,18,1,0,2,,,,,,,,,,,,,,,63,21
A14/1144B,01/01/2019 00:00:00,03:29:00,13,30,0,2,1,,,,,,,,,,,,,,,66,33
A14/1144B,01/01/2019 00:00:00,03:44:00,14,23,2,1,0,,,,,,,,,,,,,,,69,26
A14/1144B,01/01/2019 00:00:00,03:59:00,15,11,2,3,3,,,,,,,,,,,,,,,62,19
A14/1144B,01/01/2019 00:00:00,04:14:00,16,10,5,1,0,,,,,,,,,,,,,,,68,16
A14/1144B,01/01/2019 00:00:00,04:29:00,17,18,2,3,3,,,,,,,,,,,,,,,65,26
A14/1144B,01/01/2019 00:00:00,04:44:00,18,13,3,0,3,,,,,,,,,,,,,,,66,19
A14/1144B,01/01/2019 00:00:00,04:59:00,19,23,2,1,3,,,,,,,,,,,,,,,67,29
A14/1144B,01/01/2019 00:00:00,05:14:00,20,18,4,2,3,,,,,,,,,,,,,,,66,27
A14/1144B,01/01/2019 00:00:00,05:29:00,21,27,3,4,1,,,,,,,,,,,,,,,65,35
A14/1144B,01/01/2019 00:00:00,05:44:00,22,41,2,1,9,,,,,,,,,,,,,,,65,53
A14/1144B,01/01/2019 00:00:00,05:59:00,23,21,2,0,4,,,,,,,,,,,,,,,69,27
A14/1144B,01/01/2019 00:00:00,06:14:00,24,37,2,0,3,,,,,,,,,,,,,,,68,42
A14/1144B,01/01/2019 00:00:00,06:29:00,25,46,7,1,7,,,,,,,,,,,,,,,66,61
A14/1144B,01/01/2019 00:00:00,06:44:00,26,54,1,1,3,,,,,,,,,,,,,,,67,59
A14/1144B,01/01/2019 00:00:00,06:59:00,27,47,2,5,6,,,,,,,,,,,,,,,66,60
A14/1144B,01/01/2019 00:00:00,07:14:00,28,61,1,2,1,,,,,,,,,,,,,,,68,65
A14/1144B,01/01/2019 00:00:00,07:29:00,29,61,0,0,5,,,,,,,,,,,,,,,68,66
A14/1144B,01/01/2019 00:00:00,07:44:00,30,52,7,4,8,,,,,,,,,,,,,,,66,71
A14/1144B,01/01/2019 00:00:00,07:59:00,31,68,4,3,4,,,,,,,,,,,,,,,68,79
A14/1144B,01/01/2019 00:00:00,08:14:00,32,66,4,3,8,,,,,,,,,,,,,,,70,81
A14/1144B,01/01/2019 00:00:00,08:29:00,33,77,8,1,8,,,,,,,,,,,,,,,68,94
A14/1144B,01/01/2019 00:00:00,08:44:00,34,91,3,4,7,,,,,,,,,,,,,,,69,105
A14/1144B,01/01/2019 00:00:00,08:59:00,35,101,7,1,11,,,,,,,,,,,,,,,67,120
A14/1144B,01/01/2019 00:00:00,09:14:00,36,111,8,1,3,,,,,,,,,,,,,,,70,123
A14/1144B,01/01/2019 00:00:00,09:29:00,37,147,8,0,5,,,,,,,,,,,,,,,69,160
A14/1144B,01/01/2019 00:00:00,09:44:00,38,164,18,0,6,,,,,,,,,,,,,,,69,188
A14/1144B,01/01/2019 00:00:00,09:59:00,39,207,11,0,5,,,,,,,,,,,,,,,69,223
A14/1144B,01/01/2019 00:00:00,10:14:00,40,200,11,2,2,,,,,,,,,,,,,,,69,215
A14/1144B,01/01/2019 00:00:00,10:29:00,41,301,13,3,12,,,,,,,,,,,,,,,69,329
A14/1144B,01/01/2019 00:00:00,10:44:00,42,366,19,5,3,,,,,,,,,,,,,,,69,393
A14/1144B,01/01/2019 00:00:00,10:59:00,43,392,23,6,12,,,,,,,,,,,,,,,68,433
A14/1144B,01/01/2019 00:00:00,11:14:00,44,396,28,4,16,,,,,,,,,,,,,,,69,444
A14/1144B,01/01/2019 00:00:00,11:29:00,45,519,19,2,6,,,,,,,,,,,,,,,68,546
A14/1144B,01/01/2019 00:00:00,11:44:00,46,504,17,6,5,,,,,,,,,,,,,,,68,532
