Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
A1M/9847A,01/01/2019 00:00:00,00:14:00,0,11,1,2,2,,,,,,,,,,,,,,,70,16
A1M/9847A,01/01/2019 00:00:00,00:29:00,1,22,0,0,6,,,,,,,,,,,,,,,64,28
A1M/9847A,01/01/2019 00:00:00,00:44:00,2,27,1,1,5,,,,,,,,,,,,,,,68,34
A1M/9847A,01/01/2019 00:00:00,00:59:00,3,24,0,0,3,,,,,,,,,,,,,,,73,27
A1M/9847A,01/01/2019 00:00:00,01:14:00,4,21,2,1,7,,,,,,,,,,,,,,,70,31
A1M/9847A,01/01/2019 00:00:00,01:29:00,5,29,1,3,3,,,,,,,,,,,,,,,69,36
A1M/9847A,01/01/2019 00:00:00,01:44:00,6,27,0,2,8,,,,,,,,,,,,,,,65,37
A1M/9847A,01/01/2019 00:00:00,01:59:00,7,38,2,2,5,,,,,,,,,,,,,,,68,47
A1M/9847A,01/01/2019 00:00:00,02:14:00,8,20,3,2,5,,,,,,,,,,,,,,,70,30
A1M/9847A,01/01/2019 00:00:00,02:29:00,9,31,1,1,4,,,,,,,,,,,,,,,72,37
A1M/9847A,01/01/2019 00:00:00,02:44:00,10,17,1,0,5,,,,,,,,,,,,,,,68,23
A1M/9847A,01/01/2019 00:00:00,02:59:00,11,16,0,2,6,,,,,,,,,,,,,,,66,24
A1M/9847A,01/01/2019 00:00:00,03:14:00,12,12,1,0,6,,,,,,,,,,,,,,,63,19
A1M/9847A,01/01/2019 00:00:00,03:29:00,13,11,0,3,2,,,,,,,,,,,,,,,68,16
A1M/9847A,01/01/2019 00:00:00,03:44:00,14,12,2,2,11,,,,,,,,,,,,,,,62,27
A1M/9847A,01/01/2019 00:00:00,03:59:00,15,13,1,3,7,,,,,,,,,,,,,,,64,24
A1M/9847A,01/01/2019 00:00:00,04:14:00,16,12,1,1,5,,,,,,,,,,,,,,,67,19
A1M/9847A,01/01/2019 00:00:00,04:29:00,17,13,3,0,7,,,,,,,,,,,,,,,63,23
A1M/9847A,01/01/2019 00:00:00,04:44:00,18,10,0,0,8,,,,,,,,,,,,,,,64,18
A1M/9847A,01/01/2019 00:00:00,04:59:00,19,15,1,1,2,,,,,,,,,,,,,,,68,19
A1M/9847A,01/01/2019 00:00:00,05:14:00,20,10,1,1,10,,,,,,,,,,,,,,,63,22
A1M/9847A,01/01/2019 00:00:00,05:29:00,21,9,2,2,6,,,,,,,,,,,,,,,63,19
A1M/9847A,01/01/2019 00:00:00,05:44:00,22,12,2,1,5,,,,,,,,,,,,,,,66,20
A1M/9847A,01/01/2019 00:00:00,05:59:00,23,11,1,3,10,,,,,,,,,,,,,,,63,25
A1M/9847A,01/01/2019 00:00:00,06:14:00,24,14,1,5,8,,,,,,,,,,,,,,,64,28
A1M/9847A,01/01/2019 00:00:00,06:29:00,25,25,1,1,5,,,,,,,,,,,,,,,67,32
A1M/9847A,01/01/2019 00:00:00,06:44:00,26,22,2,3,6,,,,,,,,,,,,,,,67,33
A1M/9847A,01/01/2019 00:00:00,06:59:00,27,22,5,3,10,,,,,,,,,,,,,,,66,40
A1M/9847A,01/01/2019 00:00:00,07:14:00,28,23,4,6,15,,,,,,,,,,,,,,,63,48
A1M/9847A,01/01/2019 00:00:00,07:29:00,29,30,3,6,9,,,,,,,,,,,,,,,66,48
A1M/9847A,01/01/2019 00:00:00,07:44:00,30,36,6,0,10,,,,,,,,,,,,,,,69,52
A1M/9847A,01/01/2019 00:00:00,07:59:00,31,40,1,1,7,,,,,,,,,,,,,,,68,49
A1M/9847A,01/01/2019 00:00:00,08:14:00,32,57,3,2,9,,,,,,,,,,,,,,,70,71
A1M/9847A,01/01/2019 00:00:00,08:29:00,33,69,7,7,9,,,,,,,,,,,,,,,69,92
A1M/9847A,01/01/2019 00:00:00,08:44:00,34,59,7,3,9,,,,,,,,,,,,,,,69,78
A1M/9847A,01/01/2019 00:00:00,08:59:00,35,75,7,2,7,,,,,,,,,,,,,,,70,91
A1M/9847A,01/01/2019 00:00:00,09:14:00,36,98,5,0,8,,,,,,,,,,,,,,,72,111
