Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
7572/1,01/01/2019 00:00:00,00:14:00,0,10,0,0,0,,,,,,,,,,,,,,,57,10
7572/1,01/01/2019 00:00:00,00:29:00,1,26,2,0,0,,,,,,,,,,,,,,,59,28
7572/1,01/01/2019 00:00:00,00:44:00,2,38,3,1,0,,,,,,,,,,,,,,,58,42
7572/1,01/01/2019 00:00:00,00:59:00,3,52,1,1,1,,,,,,,,,,,,,,,62,55
7572/1,01/01/2019 00:00:00,01:14:00,4,62,1,0,0,,,,,,,,,,,,,,,62,63
7572/1,01/01/2019 00:00:00,01:29:00,5,40,0,0,0,,,,,,,,,,,,,,,64,40
7572/1,01/01/2019 00:00:00,01:44:00,6,48,1,0,1,,,,,,,,,,,,,,,62,50
7572/1,01/01/2019 00:00:00,01:59:00,7,33,2,1,0,,,,,,,,,,,,,,,64,36
7572/1,01/01/2019 00:00:00,02:14:00,8,27,2,0,0,,,,,,,,,,,,,,,62,29
7572/1,01/01/2019 00:00:00,02:29:00,9,24,3,1,0,,,,,,,,,,,,,,,61,28
7572/1,01/01/2019 00:00:00,02:44:00,10,11,0,0,1,,,,,,,,,,,,,,,63,12
7572/1,01/01/2019 00:00:00,02:59:00,11,18,0,0,0,,,,,,,,,,,,,,,60,18
7572/1,01/01/2019 00:00:00,03:14:00,12,9,2,2,0,,,,,,,,,,,,,,,59,13
7572/1,01/01/2019 00:00:00,03:29:00,13,10,1,0,0,,,,,,,,,,,,,,,63,11
7572/1,01/01/2019 00:00:00,03:44:00,14,20,1,0,0,,,,,,,,,,,,,,,62,21
7572/1,01/01/2019 00:00:00,03:59:00,15,8,0,0,0,,,,,,,,,,,,,,,65,8
7572/1,01/01/2019 00:00:00,04:14:00,16,6,1,0,0,,,,,,,,,,,,,,,59,7
7572/1,01/01/2019 00:00:00,04:29:00,17,8,0,0,0,,,,,,,,,,,,,,,64,8
7572/1,01/01/2019 00:00:00,04:44:00,18,6,0,2,0,,,,,,,,,,,,,,,59,8
7572/1,01/01/2019 00:00:00,04:59:00,19,7,0,1,0,,,,,,,,,,,,,,,57,8
7572/1,01/01/2019 00:00:00,05:14:00,20,11,0,1,0,,,,,,,,,,,,,,,56,12
7572/1,01/01/2019 00:00:00,05:29:00,21,11,0,1,0,,,,,,,,,,,,,,,57,12
7572/1,01/01/2019 00:00:00,05:44:00,22,19,0,0,2,,,,,,,,,,,,,,,58,21
7572/1,01/01/2019 00:00:00,05:59:00,23,14,0,0,1,,,,,,,,,,,,,,,64,15
7572/1,01/01/2019 00:00:00,06:14:00,24,18,0,1,1,,,,,,,,,,,,,,,61,20
7572/1,01/01/2019 00:00:00,06:29:00,25,22,0,0,1,,,,,,,,,,,,,,,63,23
7572/1,01/01/2019 00:00:00,06:44:00,26,35,0,0,2,,,,,,,,,,,,,,,62,37
7572/1,01/01/2019 00:00:00,06:59:00,27,33,0,0,1,,,,,,,,,,,,,,,62,34
7572/1,01/01/2019 00:00:00,07:14:00,28,29,1,0,0,,,,,,,,,,,,,,,65,30
7572/1,01/01/2019 00:00:00,07:29:00,29,23,0,0,1,,,,,,,,,,,,,,,61,24
7572/1,01/01/2019 00:00:00,07:44:00,30,31,0,0,0,,,,,,,,,,,,,,,62,31
7572/1,01/01/2019 00:00:00,07:59:00,31,50,2,0,1,,,,,,,,,,,,,,,64,53
7572/1,01/01/2019 00:00:00,08:14:00,32,29,2,0,1,,,,,,,,,,,,,,,68,32
7572/1,01/01/2019 00:00:00,08:29:00,33,41,1,1,2,,,,,,,,,,,,,,,66,45
7572/1,01/01/2019 00:00:00,08:44:00,34,55,2,4,1,,,,,,,,,,,,,,,64,62
7572/1,01/01/2019 00:00:00,08:59:00,35,45,0,2,3,,,,,,,,,,,,,,,62,50
7572/1,01/01/2019 00:00:00,09:14:00,36,47,1,0,0,,,,,,,,,,,,,,,64,48
7572/1,01/01/2019 00:00:00,09:29:00,37,70,0,2,0,,,,,,,,,,,,,,,64,72
7572/1,01/01/2019 00:00:00,09:44:00,38,81,0,0,3,,,,,,,,,,,,,,,63,84
7572/1,01/01/2019 00:00:00,09:59:00,39,142,3,0,0,,,,,,,,,,,,,,,63,145
7572/1,01/01/2019 00:00:00,10:14:00,40,130,2,0,2,,,,,,,,,,,,,,,62,134
7572/1,01/01/2019 00:00:00,10:29:00,41,137,6,4,0,,,,,,,,,,,,,,,62,147
7572/1,01/01/2019 00:00:00,10:44:00,42,163,4,2,2,,,,,,,,,,,,,,,63,171
7572/1,01/01/2019 00:00:00,10:59:00,43,169,4,1,1,,,,,,,,,,,,,,,62,175
7572/1,01/01/2019 00:00:00,11:14:00,44,188,3,0,1,,,,,,,,,,,,,,,63,192
7572/1,01/01/2019 00:00:00,11:29:00,45,210,4,1,0,,,,,,,,,,,,,,,63,215
7572/1,01/01/2019 00:00:00,11:44:00,46,208,7,1,0,,,,,,,,,,,,,,,63,216
7572/1,01/01/2019 00:00:00,11:59:00,47,243,6,2,0,,,,,,,,,,,,,,,63,251
7572/1,01/01/2019 00:00:00,12:14:00,48,245,13,2,1,,,,,,,,,,,,,,,63,261
7572/1,01/01/2019 00:00:00,12:29:00,49,260,9,2,0,,,,,,,,,,,,,,,64,271
7572/1,01/01/2019 00:00:00,12:44:00,50,284,3,2,0,,,,,,,,,,,,,,,63,289
7572/1,01/01/2019 00:00:00,12:59:00,51,231,2,2,1,,,,,,,,,,,,,,,64,236
7572/1,01/01/2019 00:00:00,13:14:00,52,245,3,3,1,,,,,,,,,,,,,,,65,252
7572/1,01/01/2019 00:00:00,13:29:00,53,245,3,2,2,,,,,,,,,,,,,,,64,252
7572/1,01/01/2019 00:00:00,13:44:00,54,232,4,0,1,,,,,,,,,,,,,,,63,237
7572/1,01/01/2019 00:00:00,13:59:00,55,230,5,0,1,,,,,,,,,,,,,,,63,236
7572/1,01/01/2019 00:00:00,14:14:00,56,237,0,4,2,,,,,,,,,,,,,,,63,243
7572/1,01/01/2019 00:00:00,14:29:00,57,252,5,2,2,,,,,,,,,,,,,,,63,261
7572/1,01/01/2019 00:00:00,14:44:00,58,230,5,0,1,,,,,,,,,,,,,,,64,236
7572/1,01/01/2019 00:00:00,14:59:00,59,202,7,1,1,,,,,,,,,,,,,,,64,211
7572/1,01/01/2019 00:00:00,15:14:00,60,204,5,3,2,,,,,,,,,,,,,,,64,214
7572/1,01/01/2019 00:00:00,15:29:00,61,230,2,5,1,,,,,,,,,,,,,,,65,238
7572/1,01/01/2019 00:00:00,15:44:00,62,206,5,1,3,,,,,,,,,,,,,,,64,215
7572/1,01/01/2019 00:00:00,15:59:00,63,225,4,3,3,,,,,,,,,,,,,,,64,235
7572/1,01/01/2019 00:00:00,16:14:00,64,163,4,1,5,,,,,,,,,,,,,,,64,173
7572/1,01/01/2019 00:00:00,16:29:00,65,150,2,3,4,,,,,,,,,,,,,,,64,159
7572/1,01/01/2019 00:00:00,16:44:00,66,191,3,1,3,,,,,,,,,,,,,,,64,198
7572/1,01/01/2019 00:00:00,16:59:00,67,125,2,1,0,,,,,,,,,,,,,,,62,128
7572/1,01/01/2019 00:00:00,17:14:00,68,133,2,0,1,,,,,,,,,,,,,,,64,136
