Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
9784/1,01/01/2019 00:00:00,00:14:00,0,10,1,0,0,,,,,,,,,,,,,,,63,11
9784/1,01/01/2019 00:00:00,00:29:00,1,22,2,0,0,,,,,,,,,,,,,,,66,24
9784/1,01/01/2019 00:00:00,00:44:00,2,44,3,0,1,,,,,,,,,,,,,,,67,48
9784/1,01/01/2019 00:00:00,00:59:00,3,63,0,0,0,,,,,,,,,,,,,,,63,63
9784/1,01/01/2019 00:00:00,01:14:00,4,84,1,0,0,,,,,,,,,,,,,,,66,85
9784/1,01/01/2019 00:00:00,01:29:00,5,74,0,1,0,,,,,,,,,,,,,,,65,75
9784/1,01/01/2019 00:00:00,01:44:00,6,43,1,1,0,,,,,,,,,,,,,,,64,45
9784/1,01/01/2019 00:00:00,01:59:00,7,31,1,1,0,,,,,,,,,,,,,,,64,33
9784/1,01/01/2019 00:00:00,02:14:00,8,33,2,0,0,,,,,,,,,,,,,,,64,35
9784/1,01/01/2019 00:00:00,02:29:00,9,16,1,1,0,,,,,,,,,,,,,,,64,18
9784/1,01/01/2019 00:00:00,02:44:00,10,11,2,0,0,,,,,,,,,,,,,,,61,13
9784/1,01/01/2019 00:00:00,02:59:00,11,16,1,0,0,,,,,,,,,,,,,,,65,17
9784/1,01/01/2019 00:00:00,03:14:00,12,10,0,1,1,,,,,,,,,,,,,,,66,12
9784/1,01/01/2019 00:00:00,03:29:00,13,5,2,0,1,,,,,,,,,,,,,,,58,8
9784/1,01/01/2019 00:00:00,03:44:00,14,8,0,0,0,,,,,,,,,,,,,,,59,8
9784/1,01/01/2019 00:00:00,03:59:00,15,15,1,0,0,,,,,,,,,,,,,,,67,16
9784/1,01/01/2019 00:00:00,04:14:00,16,10,2,0,0,,,,,,,,,,,,,,,66,12
9784/1,01/01/2019 00:00:00,04:29:00,17,8,0,1,0,,,,,,,,,,,,,,,67,9
9784/1,01/01/2019 00:00:00,04:44:00,18,10,0,0,0,,,,,,,,,,,,,,,62,10
9784/1,01/01/2019 00:00:00,04:59:00,19,10,0,0,0,,,,,,,,,,,,,,,64,10
9784/1,01/01/2019 00:00:00,05:14:00,20,10,0,0,0,,,,,,,,,,,,,,,66,10
9784/1,01/01/2019 00:00:00,05:29:00,21,6,1,0,0,,,,,,,,,,,,,,,61,7
9784/1,01/01/2019 00:00:00,05:44:00,22,5,1,0,0,,,,,,,,,,,,,,,59,6
9784/1,01/01/2019 00:00:00,05:59:00,23,10,0,0,1,,,,,,,,,,,,,,,63,11
9784/1,01/01/2019 00:00:00,06:14:00,24,7,0,0,0,,,,,,,,,,,,,,,61,7
9784/1,01/01/2019 00:00:00,06:29:00,25,14,0,0,2,,,,,,,,,,,,,,,62,16
9784/1,01/01/2019 00:00:00,06:44:00,26,26,1,0,1,,,,,,,,,,,,,,,65,28
9784/1,01/01/2019 00:00:00,06:59:00,27,17,0,1,1,,,,,,,,,,,,,,,61,19
9784/1,01/01/2019 00:00:00,07:14:00,28,16,0,0,0,,,,,,,,,,,,,,,63,16
9784/1,01/01/2019 00:00:00,07:29:00,29,24,1,0,0,,,,,,,,,,,,,,,64,25
9784/1,01/01/2019 00:00:00,07:44:00,30,26,0,0,0,,,,,,,,,,,,,,,64,26
9784/1,01/01/2019 00:00:00,07:59:00,31,11,1,1,1,,,,,,,,,,,,,,,61,14
9784/1,01/01/2019 00:00:00,08:14:00,32,18,3,0,0,,,,,,,,,,,,,,,66,21
9784/1,01/01/2019 00:00:00,08:29:00,33,25,0,0,0,,,,,,,,,,,,,,,63,25
9784/1,01/01/2019 00:00:00,08:44:00,34,25,2,1,1,,,,,,,,,,,,,,,64,29
9784/1,01/01/2019 00:00:00,08:59:00,35,32,0,0,0,,,,,,,,,,,,,,,69,32
9784/1,01/01/2019 00:00:00,09:14:00,36,31,1,0,1,,,,,,,,,,,,,,,66,33
9784/1,01/01/2019 00:00:00,09:29:00,37,47,1,2,1,,,,,,,,,,,,,,,66,51
9784/1,01/01/2019 00:00:00,09:44:00,38,58,0,0,0,,,,,,,,,,,,,,,69,58
9784/1,01/01/2019 00:00:00,09:59:00,39,79,5,1,0,,,,,,,,,,,,,,,64,85
9784/1,01/01/2019 00:00:00,10:14:00,40,83,0,0,0,,,,,,,,,,,,,,,68,83
9784/1,01/01/2019 00:00:00,10:29:00,41,107,3,0,0,,,,,,,,,,,,,,,67,110
9784/1,01/01/2019 00:00:00,10:44:00,42,113,3,3,0,,,,,,,,,,,,,,,65,119
9784/1,01/01/2019 00:00:00,10:59:00,43,160,4,1,1,,,,,,,,,,,,,,,66,166
9784/1,01/01/2019 00:00:00,11:14:00,44,166,4,1,0,,,,,,,,,,,,,,,66,171
9784/1,01/01/2019 00:00:00,11:29:00,45,198,2,4,2,,,,,,,,,,,,,,,68,206
9784/1,01/01/2019 00:00:00,11:44:00,46,227,5,1,0,,,,,,,,,,,,,,,67,233
9784/1,01/01/2019 00:00:00,11:59:00,47,189,1,1,0,,,,,,,,,,,,,,,69,191
9784/1,01/01/2019 00:00:00,12:14:00,48,195,2,0,1,,,,,,,,,,,,,,,68,198
9784/1,01/01/2019 00:00:00,12:29:00,49,200,6,4,1,,,,,,,,,,,,,,,67,211
9784/1,01/01/2019 00:00:00,12:44:00,50,220,1,1,1,,,,,,,,,,,,,,,68,223
9784/1,01/01/2019 00:00:00,12:59:00,51,196,2,4,0,,,,,,,,,,,,,,,67,202
9784/1,01/01/2019 00:00:00,13:14:00,52,222,3,0,0,,,,,,,,,,,,,,,68,225
9784/1,01/01/2019 00:00:00,13:29:00,53,176,2,0,1,,,,,,,,,,,,,,,69,179
9784/1,01/01/2019 00:00:00,13:44:00,54,240,6,1,0,,,,,,,,,,,,,,,68,247
9784/1,01/01/2019 00:00:00,13:59:00,55,174,4,0,0,,,,,,,,,,,,,,,67,178
9784/1,01/01/2019 00:00:00,14:14:00,56,231,3,4,0,,,,,,,,,,,,,,,67,238
9784/1,01/01/2019 00:00:00,14:29:00,57,213,2,1,3,,,,,,,,,,,,,,,68,219
9784/1,01/01/2019 00:00:00,14:44:00,58,219,1,0,1,,,,,,,,,,,,,,,68,221
9784/1,01/01/2019 00:00:00,14:59:00,59,214,7,2,1,,,,,,,,,,,,,,,67,224
