Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2156A,01/01/2019 00:00:00,00:14:00,0,76,7,1,1,,,,,,,,,,,,,,,41,85
M4/2156A,01/01/2019 00:00:00,00:29:00,1,108,3,1,1,,,,,,,,,,,,,,,42,113
M4/2156A,01/01/2019 00:00:00,00:44:00,2,213,10,2,0,,,,,,,,,,,,,,,42,225
M4/2156A,01/01/2019 00:00:00,00:59:00,3,291,3,3,0,,,,,,,,,,,,,,,41,297
M4/2156A,01/01/2019 00:00:00,01:14:00,4,387,21,1,0,,,,,,,,,,,,,,,41,409
M4/2156A,01/01/2019 00:00:00,01:29:00,5,441,18,2,1,,,,,,,,,,,,,,,40,462
M4/2156A,01/01/2019 00:00:00,01:44:00,6,501,18,1,3,,,,,,,,,,,,,,,40,523
M4/2156A,01/01/2019 00:00:00,01:59:00,7,561,18,1,2,,,,,,,,,,,,,,,40,582
M4/2156A,01/01/2019 00:00:00,02:14:00,8,483,36,1,1,,,,,,,,,,,,,,,39,521
M4/2156A,01/01/2019 00:00:00,02:29:00,9,391,25,4,2,,,,,,,,,,,,,,,40,422
M4/2156A,01/01/2019 00:00:00,02:44:00,10,352,16,2,6,,,,,,,,,,,,,,,40,376
M4/2156A,01/01/2019 00:00:00,02:59:00,11,286,13,4,3,,,,,,,,,,,,,,,41,306
M4/2156A,01/01/2019 00:00:00,03:14:00,12,279,18,4,2,,,,,,,,,,,,,,,40,303
M4/2156A,01/01/2019 00:00:00,03:29:00,13,197,14,3,1,,,,,,,,,,,,,,,41,215
M4/2156A,01/01/2019 00:00:00,03:44:00,14,230,12,3,0,,,,,,,,,,,,,,,41,245
M4/2156A,01/01/2019 00:00:00,03:59:00,15,206,9,2,1,,,,,,,,,,,,,,,40,218
M4/2156A,01/01/2019 00:00:00,04:14:00,16,202,17,4,0,,,,,,,,,,,,,,,41,223
M4/2156A,01/01/2019 00:00:00,04:29:00,17,215,10,2,1,,,,,,,,,,,,,,,41,228
M4/2156A,01/01/2019 00:00:00,04:44:00,18,227,10,0,0,,,,,,,,,,,,,,,40,237
M4/2156A,01/01/2019 00:00:00,04:59:00,19,229,22,7,0,,,,,,,,,,,,,,,40,258
M4/2156A,01/01/2019 00:00:00,05:14:00,20,230,22,4,1,,,,,,,,,,,,,,,40,257
M4/2156A,01/01/2019 00:00:00,05:29:00,21,254,21,3,1,,,,,,,,,,,,,,,41,279
M4/2156A,01/01/2019 00:00:00,05:44:00,22,255,16,3,1,,,,,,,,,,,,,,,40,275
M4/2156A,01/01/2019 00:00:00,05:59:00,23,263,35,2,2,,,,,,,,,,,,,,,40,302
M4/2156A,01/01/2019 00:00:00,06:14:00,24,282,33,2,0,,,,,,,,,,,,,,,41,317
M4/2156A,01/01/2019 00:00:00,06:29:00,25,315,35,1,2,,,,,,,,,,,,,,,40,353
M4/2156A,01/01/2019 00:00:00,06:44:00,26,325,32,1,1,,,,,,,,,,,,,,,40,359
M4/2156A,01/01/2019 00:00:00,06:59:00,27,323,37,5,2,,,,,,,,,,,,,,,40,367
M4/2156A,01/01/2019 00:00:00,07:14:00,28,312,35,4,0,,,,,,,,,,,,,,,40,351
M4/2156A,01/01/2019 00:00:00,07:29:00,29,269,34,5,3,,,,,,,,,,,,,,,39,311
M4/2156A,01/01/2019 00:00:00,07:44:00,30,269,38,3,3,,,,,,,,,,,,,,,40,313
M4/2156A,01/01/2019 00:00:00,07:59:00,31,269,31,2,3,,,,,,,,,,,,,,,41,305
M4/2156A,01/01/2019 00:00:00,08:14:00,32,276,43,7,6,,,,,,,,,,,,,,,40,332
M4/2156A,01/01/2019 00:00:00,08:29:00,33,319,40,5,10,,,,,,,,,,,,,,,40,374
M4/2156A,01/01/2019 00:00:00,08:44:00,34,309,34,4,9,,,,,,,,,,,,,,,40,356
M4/2156A,01/01/2019 00:00:00,08:59:00,35,307,30,7,9,,,,,,,,,,,,,,,41,353
M4/2156A,01/01/2019 00:00:00,09:14:00,36,328,46,6,3,,,,,,,,,,,,,,,41,383
M4/2156A,01/01/2019 00:00:00,09:29:00,37,344,42,7,6,,,,,,,,,,,,,,,41,399
M4/2156A,01/01/2019 00:00:00,09:44:00,38,373,33,7,2,,,,,,,,,,,,,,,40,415
M4/2156A,01/01/2019 00:00:00,09:59:00,39,376,48,8,5,,,,,,,,,,,,,,,40,437
M4/2156A,01/01/2019 00:00:00,10:14:00,40,409,45,6,3,,,,,,,,,,,,,,,40,463
