Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M5/7650B,01/01/2019 00:00:00,00:14:00,0,27,4,0,3,,,,,,,,,,,,,,,71,34
M5/7650B,01/01/2019 00:00:00,00:29:00,1,30,1,0,2,,,,,,,,,,,,,,,69,33
M5/7650B,01/01/2019 00:00:00,00:44:00,2,40,4,0,1,,,,,,,,,,,,,,,72,45
M5/7650B,01/01/2019 00:00:00,00:59:00,3,51,2,1,2,,,,,,,,,,,,,,,72,56
M5/7650B,01/01/2019 00:00:00,01:14:00,4,38,3,0,3,,,,,,,,,,,,,,,71,44
M5/7650B,01/01/2019 00:00:00,01:29:00,5,50,3,1,0,,,,,,,,,,,,,,,71,54
M5/7650B,01/01/2019 00:00:00,01:44:00,6,39,0,0,0,,,,,,,,,,,,,,,72,39
M5/7650B,01/01/2019 00:00:00,01:59:00,7,30,2,0,2,,,,,,,,,,,,,,,67,34
M5/7650B,01/01/2019 00:00:00,02:14:00,8,29,4,0,2,,,,,,,,,,,,,,,67,35
M5/7650B,01/01/2019 00:00:00,02:29:00,9,24,0,0,2,,,,,,,,,,,,,,,69,26
M5/7650B,01/01/2019 00:00:00,02:44:00,10,21,0,4,5,,,,,,,,,,,,,,,65,30
M5/7650B,01/01/2019 00:00:00,02:59:00,11,29,1,1,4,,,,,,,,,,,,,,,70,35
M5/7650B,01/01/2019 00:00:00,03:14:00,12,17,0,0,4,,,,,,,,,,,,,,,66,21
M5/7650B,01/01/2019 00:00:00,03:29:00,13,19,2,1,3,,,,,,,,,,,,,,,69,25
M5/7650B,01/01/2019 00:00:00,03:44:00,14,20,3,0,3,,,,,,,,,,,,,,,70,26
M5/7650B,01/01/2019 00:00:00,03:59:00,15,27,1,1,2,,,,,,,,,,,,,,,67,31
M5/7650B,01/01/2019 00:00:00,04:14:00,16,19,2,0,2,,,,,,,,,,,,,,,69,23
