Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M5/8291A,01/01/2019 00:00:00,00:14:00,0,18,6,1,3,,,,,,,,,,,,,,,70,28
M5/8291A,01/01/2019 00:00:00,00:29:00,1,26,4,1,0,,,,,,,,,,,,,,,66,31
M5/8291A,01/01/2019 00:00:00,00:44:00,2,30,4,1,2,,,,,,,,,,,,,,,68,37
M5/8291A,01/01/2019 00:00:00,00:59:00,3,39,3,2,4,,,,,,,,,,,,,,,71,48
M5/8291A,01/01/2019 00:00:00,01:14:00,4,27,10,1,5,,,,,,,,,,,,,,,68,43
M5/8291A,01/01/2019 00:00:00,01:29:00,5,34,4,0,4,,,,,,,,,,,,,,,69,42
M5/8291A,01/01/2019 00:00:00,01:44:00,6,41,3,2,6,,,,,,,,,,,,,,,68,52
M5/8291A,01/01/2019 00:00:00,01:59:00,7,39,7,0,4,,,,,,,,,,,,,,,68,50
M5/8291A,01/01/2019 00:00:00,02:14:00,8,26,3,1,1,,,,,,,,,,,,,,,72,31
M5/8291A,01/01/2019 00:00:00,02:29:00,9,27,4,3,2,,,,,,,,,,,,,,,68,36
M5/8291A,01/01/2019 00:00:00,02:44:00,10,32,6,0,0,,,,,,,,,,,,,,,71,38
M5/8291A,01/01/2019 00:00:00,02:59:00,11,19,2,1,1,,,,,,,,,,,,,,,69,23
M5/8291A,01/01/2019 00:00:00,03:14:00,12,15,3,0,4,,,,,,,,,,,,,,,67,22
M5/8291A,01/01/2019 00:00:00,03:29:00,13,9,6,0,2,,,,,,,,,,,,,,,69,17
M5/8291A,01/01/2019 00:00:00,03:44:00,14,20,5,0,1,,,,,,,,,,,,,,,71,26
M5/8291A,01/01/2019 00:00:00,03:59:00,15,11,1,1,5,,,,,,,,,,,,,,,65,18
M5/8291A,01/01/2019 00:00:00,04:14:00,16,13,3,0,4,,,,,,,,,,,,,,,65,20
M5/8291A,01/01/2019 00:00:00,04:29:00,17,19,3,0,6,,,,,,,,,,,,,,,64,28
M5/8291A,01/01/2019 00:00:00,04:44:00,18,16,7,0,1,,,,,,,,,,,,,,,68,24
M5/8291A,01/01/2019 00:00:00,04:59:00,19,23,2,0,4,,,,,,,,,,,,,,,70,29
M5/8291A,01/01/2019 00:00:00,05:14:00,20,19,7,1,9,,,,,,,,,,,,,,,63,36
M5/8291A,01/01/2019 00:00:00,05:29:00,21,13,2,1,7,,,,,,,,,,,,,,,65,23
M5/8291A,01/01/2019 00:00:00,05:44:00,22,14,2,1,6,,,,,,,,,,,,,,,66,23
M5/8291A,01/01/2019 00:00:00,05:59:00,23,17,6,2,4,,,,,,,,,,,,,,,69,29
M5/8291A,01/01/2019 00:00:00,06:14:00,24,30,0,1,7,,,,,,,,,,,,,,,63,38
M5/8291A,01/01/2019 00:00:00,06:29:00,25,35,7,0,6,,,,,,,,,,,,,,,69,48
M5/8291A,01/01/2019 00:00:00,06:44:00,26,34,6,0,5,,,,,,,,,,,,,,,68,45
M5/8291A,01/01/2019 00:00:00,06:59:00,27,30,4,2,6,,,,,,,,,,,,,,,65,42
M5/8291A,01/01/2019 00:00:00,07:14:00,28,33,8,0,6,,,,,,,,,,,,,,,71,47
M5/8291A,01/01/2019 00:00:00,07:29:00,29,49,4,3,3,,,,,,,,,,,,,,,68,59
M5/8291A,01/01/2019 00:00:00,07:44:00,30,53,6,4,8,,,,,,,,,,,,,,,70,71
M5/8291A,01/01/2019 00:00:00,07:59:00,31,46,9,1,7,,,,,,,,,,,,,,,70,63
M5/8291A,01/01/2019 00:00:00,08:14:00,32,49,9,2,8,,,,,,,,,,,,,,,69,68
M5/8291A,01/01/2019 00:00:00,08:29:00,33,56,7,0,7,,,,,,,,,,,,,,,72,70
M5/8291A,01/01/2019 00:00:00,08:44:00,34,59,17,0,5,,,,,,,,,,,,,,,72,81
M5/8291A,01/01/2019 00:00:00,08:59:00,35,64,15,4,9,,,,,,,,,,,,,,,71,92
M5/8291A,01/01/2019 00:00:00,09:14:00,36,88,17,0,7,,,,,,,,,,,,,,,71,112
M5/8291A,01/01/2019 00:00:00,09:29:00,37,89,20,4,9,,,,,,,,,,,,,,,71,122
M5/8291A,01/01/2019 00:00:00,09:44:00,38,156,25,1,11,,,,,,,,,,,,,,,72,193
M5/8291A,01/01/2019 00:00:00,09:59:00,39,168,22,4,5,,,,,,,,,,,,,,,72,199
M5/8291A,01/01/2019 00:00:00,10:14:00,40,191,28,5,8,,,,,,,,,,,,,,,73,232
M5/8291A,01/01/2019 00:00:00,10:29:00,41,202,26,3,2,,,,,,,,,,,,,,,72,233
M5/8291A,01/01/2019 00:00:00,10:44:00,42,259,41,7,16,,,,,,,,,,,,,,,71,323
M5/8291A,01/01/2019 00:00:00,10:59:00,43,264,49,3,7,,,,,,,,,,,,,,,72,323
M5/8291A,01/01/2019 00:00:00,11:14:00,44,318,57,3,9,,,,,,,,,,,,,,,73,387
M5/8291A,01/01/2019 00:00:00,11:29:00,45,364,63,4,8,,,,,,,,,,,,,,,72,439
M5/8291A,01/01/2019 00:00:00,11:44:00,46,357,52,8,13,,,,,,,,,,,,,,,71,430
M5/8291A,01/01/2019 00:00:00,11:59:00,47,402,62,6,18,,,,,,,,,,,,,,,71,488
M5/8291A,01/01/2019 00:00:00,12:14:00,48,393,70,4,13,,,,,,,,,,,,,,,70,480
M5/8291A,01/01/2019 00:00:00,12:29:00,49,426,56,7,9,,,,,,,,,,,,,,,72,498
M5/8291A,01/01/2019 00:00:00,12:44:00,50,408,61,12,10,,,,,,,,,,,,,,,73,491
M5/8291A,01/01/2019 00:00:00,12:59:00,51,416,65,11,16,,,,,,,,,,,,,,,72,508
M5/8291A,01/01/2019 00:00:00,13:14:00,52,441,71,9,20,,,,,,,,,,,,,,,72,541
M5/8291A,01/01/2019 00:00:00,13:29:00,53,410,71,6,6,,,,,,,,,,,,,,,72,493
M5/8291A,01/01/2019 00:00:00,13:44:00,54,452,55,5,14,,,,,,,,,,,,,,,70,526
M5/8291A,01/01/2019 00:00:00,13:59:00,55,465,72,7,14,,,,,,,,,,,,,,,72,558
M5/8291A,01/01/2019 00:00:00,14:14:00,56,435,78,5,9,,,,,,,,,,,,,,,72,527
M5/8291A,01/01/2019 00:00:00,14:29:00,57,446,65,6,11,,,,,,,,,,,,,,,73,528
M5/8291A,01/01/2019 00:00:00,14:44:00,58,466,58,7,14,,,,,,,,,,,,,,,72,545
M5/8291A,01/01/2019 00:00:00,14:59:00,59,478,71,7,13,,,,,,,,,,,,,,,72,569
M5/8291A,01/01/2019 00:00:00,15:14:00,60,486,72,5,7,,,,,,,,,,,,,,,73,570
M5/8291A,01/01/2019 00:00:00,15:29:00,61,467,71,6,10,,,,,,,,,,,,,,,72,554
M5/8291A,01/01/2019 00:00:00,15:44:00,62,456,77,5,12,,,,,,,,,,,,,,,71,550
M5/8291A,01/01/2019 00:00:00,15:59:00,63,489,65,4,12,,,,,,,,,,,,,,,71,570
M5/8291A,01/01/2019 00:00:00,16:14:00,64,434,70,8,11,,,,,,,,,,,,,,,72,523
M5/8291A,01/01/2019 00:00:00,16:29:00,65,511,87,7,10,,,,,,,,,,,,,,,70,615
M5/8291A,01/01/2019 00:00:00,16:44:00,66,449,77,7,15,,,,,,,,,,,,,,,68,548
M5/8291A,01/01/2019 00:00:00,16:59:00,67,492,80,6,12,,,,,,,,,,,,,,,68,590
M5/8291A,01/01/2019 00:00:00,17:14:00,68,468,73,3,14,,,,,,,,,,,,,,,68,558
M5/8291A,01/01/2019 00:00:00,17:29:00,69,452,63,10,12,,,,,,,,,,,,,,,69,537
M5/8291A,01/01/2019 00:00:00,17:44:00,70,449,43,4,12,,,,,,,,,,,,,,,68,508
M5/8291A,01/01/2019 00:00:00,17:59:00,71,386,41,5,12,,,,,,,,,,,,,,,69,444
M5/8291A,01/01/2019 00:00:00,18:14:00,72,253,34,2,8,,,,,,,,,,,,,,,68,297
M5/8291A,01/01/2019 00:00:00,18:29:00,73,115,13,4,4,,,,,,,,,,,,,,,72,136
M5/8291A,01/01/2019 00:00:00,18:44:00,74,628,83,10,13,,,,,,,,,,,,,,,68,734
M5/8291A,01/01/2019 00:00:00,18:59:00,75,323,52,4,9,,,,,,,,,,,,,,,70,388
M5/8291A,01/01/2019 00:00:00,19:14:00,76,309,37,2,20,,,,,,,,,,,,,,,71,368
M5/8291A,01/01/2019 00:00:00,19:29:00,77,302,36,12,18,,,,,,,,,,,,,,,71,368
M5/8291A,01/01/2019 00:00:00,19:44:00,78,290,35,6,19,,,,,,,,,,,,,,,69,350
M5/8291A,01/01/2019 00:00:00,19:59:00,79,255,23,12,12,,,,,,,,,,,,,,,70,302
M5/8291A,01/01/2019 00:00:00,20:14:00,80,262,36,4,15,,,,,,,,,,,,,,,70,317
M5/8291A,01/01/2019 00:00:00,20:29:00,81,234,25,6,13,,,,,,,,,,,,,,,70,278
M5/8291A,01/01/2019 00:00:00,20:44:00,82,203,30,6,18,,,,,,,,,,,,,,,69,257
M5/8291A,01/01/2019 00:00:00,20:59:00,83,202,31,2,14,,,,,,,,,,,,,,,70,249
M5/8291A,01/01/2019 00:00:00,21:14:00,84,171,26,1,15,,,,,,,,,,,,,,,70,213
M5/8291A,01/01/2019 00:00:00,21:29:00,85,177,30,3,12,,,,,,,,,,,,,,,70,222
M5/8291A,01/01/2019 00:00:00,21:44:00,86,138,21,1,14,,,,,,,,,,,,,,,70,174
M5/8291A,01/01/2019 00:00:00,21:59:00,87,149,20,4,14,,,,,,,,,,,,,,,70,187
M5/8291A,01/01/2019 00:00:00,22:14:00,88,106,14,0,18,,,,,,,,,,,,,,,70,138
M5/8291A,01/01/2019 00:00:00,22:29:00,89,93,20,2,17,,,,,,,,,,,,,,,69,132
M5/8291A,01/01/2019 00:00:00,22:44:00,90,92,10,2,12,,,,,,,,,,,,,,,70,116
M5/8291A,01/01/2019 00:00:00,22:59:00,91,68,13,7,16,,,,,,,,,,,,,,,68,104
