Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M60/9327B,01/01/2019 00:00:00,00:14:00,0,72,1,2,0,,,,,,,,,,,,,,,65,75
M60/9327B,01/01/2019 00:00:00,00:29:00,1,115,2,0,0,,,,,,,,,,,,,,,65,117
M60/9327B,01/01/2019 00:00:00,00:44:00,2,176,3,1,0,,,,,,,,,,,,,,,65,180
M60/9327B,01/01/2019 00:00:00,00:59:00,3,243,1,0,1,,,,,,,,,,,,,,,64,245
M60/9327B,01/01/2019 00:00:00,01:14:00,4,400,5,1,0,,,,,,,,,,,,,,,64,406
M60/9327B,01/01/2019 00:00:00,01:29:00,5,279,5,0,0,,,,,,,,,,,,,,,63,284
M60/9327B,01/01/2019 00:00:00,01:44:00,6,265,6,1,0,,,,,,,,,,,,,,,64,272
M60/9327B,01/01/2019 00:00:00,01:59:00,7,206,5,3,0,,,,,,,,,,,,,,,64,214
M60/9327B,01/01/2019 00:00:00,02:14:00,8,156,2,2,0,,,,,,,,,,,,,,,62,160
M60/9327B,01/01/2019 00:00:00,02:29:00,9,152,6,0,3,,,,,,,,,,,,,,,62,161
M60/9327B,01/01/2019 00:00:00,02:44:00,10,153,3,2,2,,,,,,,,,,,,,,,64,160
M60/9327B,01/01/2019 00:00:00,02:59:00,11,127,3,1,1,,,,,,,,,,,,,,,64,132
M60/9327B,01/01/2019 00:00:00,03:14:00,12,118,2,4,1,,,,,,,,,,,,,,,61,125
M60/9327B,01/01/2019 00:00:00,03:29:00,13,100,5,1,0,,,,,,,,,,,,,,,63,106
M60/9327B,01/01/2019 00:00:00,03:44:00,14,106,3,1,1,,,,,,,,,,,,,,,63,111
M60/9327B,01/01/2019 00:00:00,03:59:00,15,100,6,1,0,,,,,,,,,,,,,,,64,107
M60/9327B,01/01/2019 00:00:00,04:14:00,16,87,1,0,1,,,,,,,,,,,,,,,65,89
M60/9327B,01/01/2019 00:00:00,04:29:00,17,81,2,0,0,,,,,,,,,,,,,,,63,83
M60/9327B,01/01/2019 00:00:00,04:44:00,18,98,7,2,0,,,,,,,,,,,,,,,61,107
M60/9327B,01/01/2019 00:00:00,04:59:00,19,94,7,3,1,,,,,,,,,,,,,,,60,105
M60/9327B,01/01/2019 00:00:00,05:14:00,20,88,3,1,1,,,,,,,,,,,,,,,63,93
M60/9327B,01/01/2019 00:00:00,05:29:00,21,95,1,1,0,,,,,,,,,,,,,,,64,97
M60/9327B,01/01/2019 00:00:00,05:44:00,22,120,4,0,0,,,,,,,,,,,,,,,63,124
M60/9327B,01/01/2019 00:00:00,05:59:00,23,79,1,1,3,,,,,,,,,,,,,,,63,84
M60/9327B,01/01/2019 00:00:00,06:14:00,24,96,3,0,2,,,,,,,,,,,,,,,62,101
M60/9327B,01/01/2019 00:00:00,06:29:00,25,93,3,0,0,,,,,,,,,,,,,,,61,96
M60/9327B,01/01/2019 00:00:00,06:44:00,26,120,3,0,5,,,,,,,,,,,,,,,64,128
M60/9327B,01/01/2019 00:00:00,06:59:00,27,117,3,2,4,,,,,,,,,,,,,,,61,126
M60/9327B,01/01/2019 00:00:00,07:14:00,28,126,2,0,3,,,,,,,,,,,,,,,64,131
M60/9327B,01/01/2019 00:00:00,07:29:00,29,111,2,1,3,,,,,,,,,,,,,,,63,117
M60/9327B,01/01/2019 00:00:00,07:44:00,30,102,3,0,2,,,,,,,,,,,,,,,61,107
M60/9327B,01/01/2019 00:00:00,07:59:00,31,104,1,4,0,,,,,,,,,,,,,,,64,109
M60/9327B,01/01/2019 00:00:00,08:14:00,32,141,3,2,3,,,,,,,,,,,,,,,63,149
M60/9327B,01/01/2019 00:00:00,08:29:00,33,130,4,2,3,,,,,,,,,,,,,,,63,139
M60/9327B,01/01/2019 00:00:00,08:44:00,34,106,5,1,3,,,,,,,,,,,,,,,65,115
M60/9327B,01/01/2019 00:00:00,08:59:00,35,101,6,0,1,,,,,,,,,,,,,,,66,108
M60/9327B,01/01/2019 00:00:00,09:14:00,36,156,5,3,1,,,,,,,,,,,,,,,65,165
M60/9327B,01/01/2019 00:00:00,09:29:00,37,147,5,0,2,,,,,,,,,,,,,,,68,154
M60/9327B,01/01/2019 00:00:00,09:44:00,38,200,5,7,3,,,,,,,,,,,,,,,64,215
