Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M60/9374A,01/01/2019 00:00:00,00:14:00,0,51,2,0,0,,,,,,,,,,,,,,,66,53
M60/9374A,01/01/2019 00:00:00,00:29:00,1,65,6,1,0,,,,,,,,,,,,,,,65,72
M60/9374A,01/01/2019 00:00:00,00:44:00,2,103,6,0,0,,,,,,,,,,,,,,,67,109
M60/9374A,01/01/2019 00:00:00,00:59:00,3,129,7,2,0,,,,,,,,,,,,,,,67,138
M60/9374A,01/01/2019 00:00:00,01:14:00,4,113,13,3,0,,,,,,,,,,,,,,,67,129
M60/9374A,01/01/2019 00:00:00,01:29:00,5,142,5,0,1,,,,,,,,,,,,,,,68,148
M60/9374A,01/01/2019 00:00:00,01:44:00,6,90,12,1,2,,,,,,,,,,,,,,,66,105
M60/9374A,01/01/2019 00:00:00,01:59:00,7,90,11,1,0,,,,,,,,,,,,,,,66,102
M60/9374A,01/01/2019 00:00:00,02:14:00,8,89,8,1,0,,,,,,,,,,,,,,,67,98
M60/9374A,01/01/2019 00:00:00,02:29:00,9,91,6,3,0,,,,,,,,,,,,,,,69,100
M60/9374A,01/01/2019 00:00:00,02:44:00,10,74,7,1,1,,,,,,,,,,,,,,,65,83
M60/9374A,01/01/2019 00:00:00,02:59:00,11,57,4,3,0,,,,,,,,,,,,,,,64,64
M60/9374A,01/01/2019 00:00:00,03:14:00,12,63,6,1,0,,,,,,,,,,,,,,,67,70
M60/9374A,01/01/2019 00:00:00,03:29:00,13,49,8,1,0,,,,,,,,,,,,,,,68,58
M60/9374A,01/01/2019 00:00:00,03:44:00,14,57,5,1,0,,,,,,,,,,,,,,,67,63
M60/9374A,01/01/2019 00:00:00,03:59:00,15,51,3,3,1,,,,,,,,,,,,,,,65,58
M60/9374A,01/01/2019 00:00:00,04:14:00,16,47,4,4,0,,,,,,,,,,,,,,,66,55
M60/9374A,01/01/2019 00:00:00,04:29:00,17,50,5,1,0,,,,,,,,,,,,,,,65,56
M60/9374A,01/01/2019 00:00:00,04:44:00,18,43,4,1,1,,,,,,,,,,,,,,,64,49
M60/9374A,01/01/2019 00:00:00,04:59:00,19,49,4,1,1,,,,,,,,,,,,,,,68,55
M60/9374A,01/01/2019 00:00:00,05:14:00,20,48,2,0,3,,,,,,,,,,,,,,,67,53
M60/9374A,01/01/2019 00:00:00,05:29:00,21,59,7,1,1,,,,,,,,,,,,,,,66,68
M60/9374A,01/01/2019 00:00:00,05:44:00,22,60,5,1,0,,,,,,,,,,,,,,,63,66
M60/9374A,01/01/2019 00:00:00,05:59:00,23,61,9,1,0,,,,,,,,,,,,,,,66,71
M60/9374A,01/01/2019 00:00:00,06:14:00,24,62,7,4,2,,,,,,,,,,,,,,,66,75
M60/9374A,01/01/2019 00:00:00,06:29:00,25,71,11,2,0,,,,,,,,,,,,,,,67,84
M60/9374A,01/01/2019 00:00:00,06:44:00,26,73,7,2,6,,,,,,,,,,,,,,,67,88
M60/9374A,01/01/2019 00:00:00,06:59:00,27,63,11,1,1,,,,,,,,,,,,,,,66,76
M60/9374A,01/01/2019 00:00:00,07:14:00,28,66,4,0,2,,,,,,,,,,,,,,,67,72
M60/9374A,01/01/2019 00:00:00,07:29:00,29,57,6,1,2,,,,,,,,,,,,,,,64,66
M60/9374A,01/01/2019 00:00:00,07:44:00,30,75,5,1,2,,,,,,,,,,,,,,,64,83
M60/9374A,01/01/2019 00:00:00,07:59:00,31,81,8,1,1,,,,,,,,,,,,,,,66,91
M60/9374A,01/01/2019 00:00:00,08:14:00,32,81,3,1,2,,,,,,,,,,,,,,,67,87
M60/9374A,01/01/2019 00:00:00,08:29:00,33,100,12,3,3,,,,,,,,,,,,,,,67,118
M60/9374A,01/01/2019 00:00:00,08:44:00,34,96,10,3,1,,,,,,,,,,,,,,,67,110
