"starttime","resolution","detector_id","speed","volume","occupancy","countreadings","delay","traveltime","vht","vmt"
2018-12-31 08:00:00,00:15:00,100300,58.42,12,0.26,39,0.02,0.6,0.12,6.96
2018-12-31 08:15:00,00:15:00,100300,60.35,17,0.39,44,0,0.58,0.16,9.86
2018-12-31 08:30:00,00:15:00,100300,57,9,0.22,40,0.03,0.61,0.09,5.22
2018-12-31 08:45:00,00:15:00,100300,60.23,13,0.35,40,0,0.58,0.13,7.54
2018-12-31 09:00:00,00:15:00,100300,57.78,9,0.22,40,0.02,0.6,0.09,5.22
2018-12-31 09:15:00,00:15:00,100300,60.7,10,0.22,45,-0.01,0.57,0.1,5.8
2018-12-31 09:30:00,00:15:00,100300,59.43,7,0.15,45,0.01,0.59,0.07,4.06
2018-12-31 09:45:00,00:15:00,100300,57.57,7,0.2,44,0.02,0.6,0.07,4.06
2018-12-31 10:00:00,00:15:00,100300,59.56,9,0.2,45,0,0.58,0.09,5.22
2018-12-31 10:15:00,00:15:00,100300,60.75,4,0.1,42,-0.01,0.57,0.04,2.32
2018-12-31 10:30:00,00:15:00,100300,57.8,5,0.11,44,0.02,0.6,0.05,2.9
2018-12-31 10:45:00,00:15:00,100300,58.67,6,0.11,45,0.01,0.59,0.06,3.48
2018-12-31 11:00:00,00:15:00,100300,59.6,5,0.18,40,0,0.58,0.05,2.9
2018-12-31 11:15:00,00:15:00,100300,57.25,4,0.13,43,0.03,0.61,0.04,2.32
2018-12-31 11:30:00,00:15:00,100300,56,4,0.09,44,0.04,0.62,0.04,2.32
2018-12-31 11:45:00,00:15:00,100300,61.5,2,0.05,39,-0.01,0.57,0.02,1.16
2018-12-31 12:00:00,00:15:00,100300,60.5,2,0.11,45,0,0.58,0.02,1.16
2018-12-31 12:15:00,00:15:00,100300,59.75,4,0.12,40,0,0.58,0.04,2.32
2018-12-31 12:30:00,00:15:00,100300,61.75,8,0.25,45,-0.02,0.56,0.08,4.64
2018-12-31 12:45:00,00:15:00,100300,64.24,21,0.51,45,-0.04,0.54,0.19,12.18
2018-12-31 13:00:00,00:15:00,100300,61.12,17,0.4,45,-0.01,0.57,0.16,9.86
2018-12-31 13:15:00,00:15:00,100300,55.57,44,1.13,45,0.05,0.63,0.46,25.52
2018-12-31 13:30:00,00:15:00,100300,58.9,62,1.99,40,0.01,0.59,0.61,35.96
2018-12-31 13:45:00,00:15:00,100300,60.29,78,1.89,44,0,0.58,0.75,45.24
2018-12-31 14:00:00,00:15:00,100300,59.92,94,2.31,44,0,0.58,0.91,54.52
2018-12-31 14:15:00,00:15:00,100300,58.39,88,3,35,0.02,0.6,0.87,51.04
