site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M62/2056A,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,67.0,102.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,67.0,116.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,67.0,144.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,67.0,176.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,66.0,174.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,67.0,193.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,66.0,188.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,66.0,158.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,65.0,156.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,64.0,145.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,65.0,137.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,67.0,104.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,65.0,99.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,67.0,83.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,66.0,79.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,64.0,78.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,64.0,91.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,64.0,63.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,65.0,59.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,65.0,70.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,66.0,63.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,64.0,85.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,65.0,84.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,66.0,96.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,65.0,77.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,64.0,111.0,False,False
M62/2056A,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,65.0,154.0,False,False
