"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"9336/1",0,2019-01-07,7,2019-01-07 00:14:00,0,67,25,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 00:29:00,1,64,27,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 00:44:00,2,64,16,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 00:59:00,3,61,23,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 01:14:00,4,59,17,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 01:29:00,5,62,16,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 01:44:00,6,61,15,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 01:59:00,7,64,17,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 02:14:00,8,62,22,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 02:29:00,9,67,14,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 02:44:00,10,61,20,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 02:59:00,11,67,11,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 03:14:00,12,57,12,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 03:29:00,13,57,13,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 03:44:00,14,60,10,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 03:59:00,15,58,15,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 04:14:00,16,60,20,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 04:29:00,17,61,18,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 04:44:00,18,59,23,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 04:59:00,19,64,30,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 05:14:00,20,61,31,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 05:29:00,21,61,46,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 05:44:00,22,63,54,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 05:59:00,23,63,86,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 06:14:00,24,65,113,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 06:29:00,25,67,145,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 06:44:00,26,65,189,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 06:59:00,27,64,214,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 07:14:00,28,66,240,FALSE,FALSE
"9336/1",0,2019-01-07,7,2019-01-07 07:29:00,29,64,341,FALSE,FALSE
