"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"7048/2",0,2019-01-07,7,2019-01-07 00:14:00,0,70,91,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 00:29:00,1,70,85,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 00:44:00,2,68,61,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 00:59:00,3,66,65,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 01:14:00,4,67,57,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 01:29:00,5,66,34,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 01:44:00,6,68,42,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 01:59:00,7,67,51,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 02:14:00,8,67,24,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 02:29:00,9,67,33,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 02:44:00,10,64,27,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 02:59:00,11,65,31,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 03:14:00,12,64,30,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 03:29:00,13,68,25,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 03:44:00,14,67,38,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 03:59:00,15,62,44,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 04:14:00,16,65,48,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 04:29:00,17,63,49,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 04:44:00,18,66,63,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 04:59:00,19,68,92,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 05:14:00,20,66,136,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 05:29:00,21,67,160,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 05:44:00,22,69,307,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 05:59:00,23,70,396,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 06:14:00,24,70,540,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 06:29:00,25,68,712,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 06:44:00,26,68,752,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 06:59:00,27,68,716,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 07:14:00,28,67,784,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 07:29:00,29,65,809,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 07:44:00,30,64,844,FALSE,FALSE
"7048/2",0,2019-01-07,7,2019-01-07 07:59:00,31,63,759,FALSE,FALSE
