Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
7048/2,01/01/2019 00:00:00,00:14:00,0,59,2,0,1,,,,,,,,,,,,,,,70,62
7048/2,01/01/2019 00:00:00,00:29:00,1,55,0,1,1,,,,,,,,,,,,,,,71,57
7048/2,01/01/2019 00:00:00,00:44:00,2,80,4,0,0,,,,,,,,,,,,,,,71,84
7048/2,01/01/2019 00:00:00,00:59:00,3,142,3,0,1,,,,,,,,,,,,,,,69,146
7048/2,01/01/2019 00:00:00,01:14:00,4,160,5,1,1,,,,,,,,,,,,,,,70,167
7048/2,01/01/2019 00:00:00,01:29:00,5,142,4,0,0,,,,,,,,,,,,,,,69,146
7048/2,01/01/2019 00:00:00,01:44:00,6,165,2,1,2,,,,,,,,,,,,,,,68,170
7048/2,01/01/2019 00:00:00,01:59:00,7,115,2,0,1,,,,,,,,,,,,,,,69,118
7048/2,01/01/2019 00:00:00,02:14:00,8,100,1,1,1,,,,,,,,,,,,,,,68,103
7048/2,01/01/2019 00:00:00,02:29:00,9,110,1,1,0,,,,,,,,,,,,,,,69,112
7048/2,01/01/2019 00:00:00,02:44:00,10,92,4,4,0,,,,,,,,,,,,,,,70,100
7048/2,01/01/2019 00:00:00,02:59:00,11,75,3,1,0,,,,,,,,,,,,,,,68,79
7048/2,01/01/2019 00:00:00,03:14:00,12,80,3,2,1,,,,,,,,,,,,,,,70,86
7048/2,01/01/2019 00:00:00,03:29:00,13,69,3,1,0,,,,,,,,,,,,,,,66,73
7048/2,01/01/2019 00:00:00,03:44:00,14,63,2,0,2,,,,,,,,,,,,,,,71,67
7048/2,01/01/2019 00:00:00,03:59:00,15,70,2,0,1,,,,,,,,,,,,,,,71,73
7048/2,01/01/2019 00:00:00,04:14:00,16,53,2,0,2,,,,,,,,,,,,,,,69,57
7048/2,01/01/2019 00:00:00,04:29:00,17,54,0,0,1,,,,,,,,,,,,,,,66,55
7048/2,01/01/2019 00:00:00,04:44:00,18,32,2,0,9,,,,,,,,,,,,,,,63,43
7048/2,01/01/2019 00:00:00,04:59:00,19,45,2,0,1,,,,,,,,,,,,,,,65,48
7048/2,01/01/2019 00:00:00,05:14:00,20,41,1,2,2,,,,,,,,,,,,,,,68,46
7048/2,01/01/2019 00:00:00,05:29:00,21,41,2,5,0,,,,,,,,,,,,,,,66,48
7048/2,01/01/2019 00:00:00,05:44:00,22,41,0,1,2,,,,,,,,,,,,,,,70,44
7048/2,01/01/2019 00:00:00,05:59:00,23,57,2,0,2,,,,,,,,,,,,,,,71,61
7048/2,01/01/2019 00:00:00,06:14:00,24,49,3,2,3,,,,,,,,,,,,,,,68,57
7048/2,01/01/2019 00:00:00,06:29:00,25,53,0,1,3,,,,,,,,,,,,,,,68,57
7048/2,01/01/2019 00:00:00,06:44:00,26,72,2,1,5,,,,,,,,,,,,,,,66,80
7048/2,01/01/2019 00:00:00,06:59:00,27,62,5,1,0,,,,,,,,,,,,,,,69,68
7048/2,01/01/2019 00:00:00,07:14:00,28,65,4,1,3,,,,,,,,,,,,,,,70,73
7048/2,01/01/2019 00:00:00,07:29:00,29,74,3,2,5,,,,,,,,,,,,,,,67,84
7048/2,01/01/2019 00:00:00,07:44:00,30,68,6,1,3,,,,,,,,,,,,,,,70,78
7048/2,01/01/2019 00:00:00,07:59:00,31,68,8,1,1,,,,,,,,,,,,,,,72,78
7048/2,01/01/2019 00:00:00,08:14:00,32,63,5,1,3,,,,,,,,,,,,,,,70,72
7048/2,01/01/2019 00:00:00,08:29:00,33,67,5,1,8,,,,,,,,,,,,,,,70,81
7048/2,01/01/2019 00:00:00,08:44:00,34,64,6,1,9,,,,,,,,,,,,,,,69,80
7048/2,01/01/2019 00:00:00,08:59:00,35,84,6,0,5,,,,,,,,,,,,,,,71,95
7048/2,01/01/2019 00:00:00,09:14:00,36,99,7,1,4,,,,,,,,,,,,,,,70,111
7048/2,01/01/2019 00:00:00,09:29:00,37,108,9,2,5,,,,,,,,,,,,,,,72,124
7048/2,01/01/2019 00:00:00,09:44:00,38,144,8,3,5,,,,,,,,,,,,,,,71,160
7048/2,01/01/2019 00:00:00,09:59:00,39,135,6,3,6,,,,,,,,,,,,,,,71,150
7048/2,01/01/2019 00:00:00,10:14:00,40,157,2,0,2,,,,,,,,,,,,,,,73,161
